Date,Open,High,Low,Close,% Change ATX
21/03/2005,2640.969971,2663.27002,2581.820068,2615.439941,-0.95
28/03/2005,2615.449951,2671.040039,2605.469971,2671.040039,2.13
04/04/2005,2670.870117,2717.52002,2670.870117,2711.110107,1.5
11/04/2005,2711.100098,2730.419922,2655.959961,2659.389893,-1.91
18/04/2005,2657.050049,2657.050049,2562.689941,2633.889893,-0.96
25/04/2005,2633.379883,2660.5,2548.810059,2566,-2.58
02/05/2005,2566.050049,2590.179932,2515.719971,2538.149902,-1.09
09/05/2005,2538.050049,2607.139893,2536.070068,2594.580078,2.22
16/05/2005,2595.050049,2679.689941,2571.360107,2678.27002,3.23
23/05/2005,2678.199951,2761.939941,2668.75,2760.77002,3.08
30/05/2005,2762.840088,2856.22998,2754.949951,2822.689941,2.24
06/06/2005,2822.719971,2919.439941,2809.969971,2910.959961,3.13
13/06/2005,2907.969971,3021.449951,2899.459961,3020.659912,3.77
20/06/2005,3017.780029,3050.100098,2948.52002,2965.47998,-1.83
27/06/2005,2965.870117,3090.360107,2959.360107,3089.389893,4.18
04/07/2005,3089.050049,3114.179932,2967.580078,3095.550049,0.2
11/07/2005,3095.370117,3119.52002,3051.219971,3068.139893,-0.89
18/07/2005,3068.659912,3090.5,3037.580078,3048.5,-0.64
25/07/2005,3053.840088,3142.23999,3048.399902,3126.209961,2.55
01/08/2005,3126.209961,3212.610107,3124.360107,3183.76001,1.84
08/08/2005,3183.76001,3271.389893,3176.939941,3235.22998,1.62
15/08/2005,3235.25,3240.120117,3141.98999,3179.610107,-1.72
22/08/2005,3179.780029,3257.820068,3172.719971,3226.199951,1.47
29/08/2005,3225.879883,3340.070068,3214.149902,3333.949951,3.34
05/09/2005,3333.949951,3368.439941,3275.030029,3364.540039,0.92
12/09/2005,3366.120117,3434.709961,3366,3430.290039,1.95
19/09/2005,3430.290039,3431.800049,3358,3379.790039,-1.47
26/09/2005,3379.969971,3457.449951,3359.560059,3457.449951,2.3
03/10/2005,3457.449951,3510.5,3316.280029,3336.699951,-3.49
10/10/2005,3337.530029,3386.969971,3162.76001,3201.620117,-4.05
17/10/2005,3201.620117,3260.439941,3099.560059,3138.350098,-1.98
24/10/2005,3134.27002,3231.419922,3124.199951,3202.399902,2.04
31/10/2005,3200.300049,3359.040039,3200.300049,3354.72998,4.76
07/11/2005,3354.620117,3362.050049,3311.070068,3341.73999,-0.39
14/11/2005,3340.159912,3418.959961,3326.709961,3401.629883,1.79
21/11/2005,3400.97998,3500.780029,3389.469971,3493.340088,2.7
28/11/2005,3493.340088,3574.419922,3475.139893,3569.98999,2.19
05/12/2005,3569.800049,3617.439941,3548.219971,3591.040039,0.59
12/12/2005,3591.040039,3605.379883,3549.679932,3586.620117,-0.12
19/12/2005,3585.48999,3637.429932,3561.459961,3621.370117,0.97
26/12/2005,3621.590088,3675.139893,3613.120117,3667.030029,1.26
02/01/2006,3667.469971,3773.429932,3653.560059,3772.47998,2.88
09/01/2006,3772.610107,3836.399902,3772.610107,3791.800049,0.51
16/01/2006,3791.620117,3873.23999,3716.820068,3846.969971,1.45
23/01/2006,3846.969971,3970.379883,3804.52002,3956.26001,2.84
30/01/2006,3955.840088,4042.310059,3931.23999,3953.469971,-0.07
