Date,Open,High,Low,Close,% Change CAC
21/03/2005,4045.969971,4080.899902,4009.01001,4078.310059,0.68
28/03/2005,4056.429932,4097.069824,4043.899902,4080.080078,0.04
04/04/2005,4067.810059,4143.930176,4029.949951,4124.290039,1.08
11/04/2005,4107,4126.52002,4032.280029,4032.280029,-2.23
18/04/2005,3975.25,3985.800049,3930.629883,3980.179932,-1.29
25/04/2005,3973.75,4000.120117,3882.419922,3911.709961,-1.72
02/05/2005,3928.709961,4041.169922,3920.879883,4033.459961,3.11
09/05/2005,4028.51001,4035.649902,3977.110107,4017.889893,-0.39
16/05/2005,3990.459961,4112.060059,3990.459961,4096.180176,1.95
23/05/2005,4113.330078,4142.540039,4083.530029,4131.830078,0.87
30/05/2005,4108.950195,4198.200195,4097.959961,4162.470215,0.74
06/06/2005,4159.870117,4195.100098,4139.419922,4184.100098,0.52
13/06/2005,4192.649902,4246.430176,4179.740234,4220.910156,0.88
20/06/2005,4213.399902,4244.839844,4182.669922,4199.870117,-0.50
27/06/2005,4172.959961,4269.620117,4149.950195,4269.620117,1.66
04/07/2005,4276.709961,4300.310059,4089.27002,4300.310059,0.72
11/07/2005,4317.899902,4389.490234,4293.669922,4373.77002,1.71
18/07/2005,4381.189941,4465.899902,4357.5,4415.52002,0.95
25/07/2005,4423.22998,4483.470215,4403.02002,4451.740234,0.82
01/08/2005,4457.490234,4503.740234,4421.700195,4421.700195,-0.67
08/08/2005,4437.149902,4527.109863,4433.02002,4476.47998,1.24
15/08/2005,4470.410156,4490.529785,4406.02002,4487.899902,0.26
22/08/2005,4490.140137,4498.040039,4342.700195,4342.700195,-3.24
29/08/2005,4319.930176,4437.859863,4313.339844,4404.950195,1.43
05/09/2005,4404.810059,4498.439941,4404.810059,4491.680176,1.97
12/09/2005,4504.859863,4526.930176,4453.410156,4509.490234,0.40
19/09/2005,4486.209961,4536.990234,4424.200195,4477.200195,-0.72
26/09/2005,4510.399902,4620.850098,4510.399902,4600.02002,2.74
03/10/2005,4610.009766,4651.109863,4514.740234,4528.790039,-1.55
10/10/2005,4544.049805,4570.490234,4445.830078,4482.129883,-1.03
17/10/2005,4498.509766,4507.350098,4354.390137,4366.52002,-2.58
24/10/2005,4371.950195,4441.75,4288.149902,4326.709961,-0.91
31/10/2005,4373.040039,4506.27002,4373.040039,4498.700195,3.98
07/11/2005,4493.310059,4541.819824,4474.22998,4536.490234,0.84
14/11/2005,4530.080078,4577.290039,4494.529785,4556.22998,0.44
21/11/2005,4563.049805,4611.129883,4556.240234,4600.47998,0.97
28/11/2005,4621.609863,4662.5,4551.279785,4662.5,1.35
05/12/2005,4660.009766,4690.75,4623.22998,4661.009766,-0.03
12/12/2005,4674.040039,4724.089844,4657.720215,4704.410156,0.93
19/12/2005,4705.620117,4768.939941,4674.180176,4757.740234,1.13
26/12/2005,4751.149902,4780.049805,4703.339844,4715.22998,-0.89
02/01/2006,4731.919922,4867.149902,4727.089844,4867.149902,3.22
09/01/2006,4875.120117,4898.049805,4834.240234,4850.529785,-0.34
16/01/2006,4844.129883,4864.759766,4730.379883,4773.47998,-1.59
23/01/2006,4725,4956.600098,4719.330078,4956.600098,3.84
30/01/2006,4945.830078,5012.379883,4905.629883,4937.560059,-0.38
06/02/2006,4949.839844,4963.689941,4875.799805,4910.819824,-0.54
13/02/2006,4916.359863,5003.390137,4898.959961,5000,1.82
20/02/2006,4981.310059,5073.950195,4971.25,5073.950195,1.48
27/02/2006,5082.129883,5085.200195,4966.709961,4989.149902,-1.67
06/03/2006,5025.720215,5069.27002,4927.589844,5069.27002,1.61
13/03/2006,5094.22998,5171.379883,5085.740234,5141.080078,1.42
20/03/2006,5161.209961,5226.370117,5098.379883,5218.709961,1.51
27/03/2006,5212.390137,5247.310059,5134.339844,5220.850098,0.04
03/04/2006,5251.560059,5258.509766,5174.959961,5174.959961,-0.88
10/04/2006,5170.049805,5197.410156,5058.350098,5102.620117,-1.40
17/04/2006,5097.560059,5252.379883,5073.509766,5252.379883,2.93
24/04/2006,5227.700195,5261.600098,5169.97998,5188.399902,-1.22
01/05/2006,5187.339844,5287.240234,5185.680176,5286.399902,1.89
08/05/2006,5297.5,5329.160156,5150.450195,5150.450195,-2.57
15/05/2006,5130.529785,5137.430176,4841.77002,4944.569824,-4.00
22/05/2006,4934.109863,5045.089844,4798.810059,5045.089844,2.03
29/05/2006,5022.859863,5026.359863,4820.060059,4959.700195,-1.69
