Date,Open,High,Low,Close,Change %
21/03/2005,1.0822,1.084,1.07,1.0795,-0.2311
28/03/2005,1.0789,1.0845,1.0742,1.0782,-0.1204
04/04/2005,1.0778,1.0867,1.0741,1.0815,0.3061
11/04/2005,1.0817,1.0852,1.0629,1.0831,0.1479
18/04/2005,1.0826,1.1009,1.0797,1.0818,-0.1200
25/04/2005,1.0819,1.0856,1.0687,1.0715,-0.9521
02/05/2005,1.0715,1.0826,1.0656,1.069,-0.2333
09/05/2005,1.069,1.0755,1.0655,1.071,0.1871
16/05/2005,1.0711,1.0839,1.0705,1.0722,0.1120
23/05/2005,1.072,1.0735,1.0622,1.0648,-0.6902
30/05/2005,1.0651,1.0684,1.0515,1.0544,-0.9767
06/06/2005,1.0552,1.0572,1.0309,1.0333,-2.0011
13/06/2005,1.0334,1.0351,1.0126,1.0171,-1.5678
20/06/2005,1.0172,1.0217,1.0067,1.0208,0.3638
27/06/2005,1.0209,1.0292,1.0174,1.0268,0.5878
04/07/2005,1.0274,1.045,1.0212,1.0356,0.8570
11/07/2005,1.0359,1.0427,1.0103,1.0289,-0.6470
18/07/2005,1.0288,1.0337,1.007,1.0104,-1.7980
25/07/2005,1.0102,1.0271,1.0085,1.0262,1.5637
01/08/2005,1.0262,1.0319,1.0213,1.0286,0.2339
08/08/2005,1.0286,1.0453,1.0281,1.037,0.8166
15/08/2005,1.0369,1.0471,1.0318,1.0441,0.6847
22/08/2005,1.0437,1.0527,1.0377,1.0521,0.7662
29/08/2005,1.0517,1.1598,1.0469,1.0629,1.0265
05/09/2005,1.0625,1.0629,1.0353,1.0374,-2.3991
12/09/2005,1.0372,1.0376,1.0209,1.0222,-1.4652
19/09/2005,1.0223,1.0288,1.0141,1.0196,-0.2544
26/09/2005,1.0197,1.026,1.0107,1.0138,-0.5689
03/10/2005,1.0139,1.0393,1.0048,1.0321,1.8051
10/10/2005,1.0321,1.0379,1.0238,1.0332,0.1066
17/10/2005,1.0336,1.0376,1.0239,1.0341,0.0871
24/10/2005,1.0341,1.0441,1.0301,1.0415,0.7156
31/10/2005,1.0416,1.0594,1.0348,1.0416,0.0096
07/11/2005,1.0418,1.0459,1.0343,1.0398,-0.1728
14/11/2005,1.0398,1.07,1.0294,1.036,-0.3655
21/11/2005,1.0358,1.0385,1.0235,1.0313,-0.4537
28/11/2005,1.0315,1.0349,1.0123,1.0156,-1.5224
05/12/2005,1.0156,1.0275,1.0115,1.0218,0.6105
12/12/2005,1.0222,1.0438,1.0203,1.0426,2.0356
19/12/2005,1.0425,1.0482,1.035,1.0444,0.1726
26/12/2005,1.0447,1.0498,1.0317,1.0353,-0.8713
02/01/2006,1.0354,1.0508,1.0319,1.0445,0.8886
09/01/2006,1.0445,1.046,1.0321,1.0361,-0.8042
16/01/2006,1.0358,1.049,1.0332,1.0465,1.0038
23/01/2006,1.0473,1.0591,1.0348,1.0389,-0.7262
30/01/2006,1.0393,1.0396,1.0279,1.0316,-0.7027
06/02/2006,1.0318,1.0464,1.0309,1.0372,0.5428
13/02/2006,1.0369,1.039,1.0283,1.0326,-0.4435
20/02/2006,1.0327,1.0376,1.0245,1.0254,-0.6973
27/02/2006,1.0253,1.037,1.0197,1.035,0.9362
06/03/2006,1.0349,1.0444,1.0326,1.037,0.1932
13/03/2006,1.0373,1.0669,1.0339,1.0642,2.6230
20/03/2006,1.0643,1.0784,1.0604,1.0774,1.2404
27/03/2006,1.0775,1.0886,1.0684,1.0716,-0.5383
03/04/2006,1.0711,1.0777,1.0533,1.0569,-1.3718
10/04/2006,1.057,1.0607,1.0479,1.0589,0.1892
17/04/2006,1.059,1.0635,1.0491,1.0537,-0.4911
24/04/2006,1.0537,1.0649,1.0434,1.0635,0.9301
01/05/2006,1.0633,1.0654,1.0478,1.0553,-0.7710
08/05/2006,1.0553,1.0858,1.0522,1.0846,2.7765
