Date,Open,High,Low,Close,Change %
21/03/2005,1.0328,1.0334,1.0103,1.015,-1.7615
28/03/2005,1.0148,1.0189,1.0057,1.0091,-0.5813
04/04/2005,1.0094,1.0274,1.0071,1.0253,1.6054
11/04/2005,1.0251,1.0395,1.0204,1.0371,1.1509
18/04/2005,1.0368,1.055,1.0354,1.0446,0.7232
25/04/2005,1.045,1.0564,1.0387,1.0523,0.7371
02/05/2005,1.0525,1.055,1.0264,1.0288,-2.2332
09/05/2005,1.029,1.0375,1.0238,1.0317,0.2819
16/05/2005,1.0314,1.0418,1.022,1.0257,-0.5816
23/05/2005,1.0256,1.0315,1.0159,1.0194,-0.6142
30/05/2005,1.0194,1.0202,0.9909,0.9948,-2.4132
06/06/2005,0.99527,1.0039,0.9829,0.985,-0.9851
13/06/2005,0.985,0.99016,0.9691,0.9723,-1.2893
20/06/2005,0.9722,0.9762,0.9604,0.96976,-0.2612
27/06/2005,0.97024,0.9766,0.9511,0.9598,-1.0271
04/07/2005,0.9595,0.95996,0.935,0.9372,-2.3547
11/07/2005,0.9373,0.95,0.9311,0.94128,0.4353
18/07/2005,0.9407,0.9535,0.9332,0.93976,-0.1615
25/07/2005,0.93979,0.9593,0.93302,0.9487,0.9513
01/08/2005,0.9488,0.98154,0.9461,0.9618,1.3808
08/08/2005,0.9616,0.9694,0.9549,0.959,-0.2911
15/08/2005,0.9587,0.96235,0.94817,0.95049,-0.8874
22/08/2005,0.95,0.954,0.9386,0.95066,0.0179
29/08/2005,0.951,0.97602,0.937,0.96693,1.7114
05/09/2005,0.96689,0.9691,0.9438,0.9454,-2.2266
12/09/2005,0.9454,0.946,0.9236,0.9243,-2.2319
19/09/2005,0.9242,0.9271,0.90463,0.9056,-2.0232
26/09/2005,0.9056,0.9125,0.8958,0.89937,-0.6879
03/10/2005,0.89919,0.93058,0.8923,0.9175,2.0159
10/10/2005,0.9176,0.92611,0.9041,0.92227,0.5199
17/10/2005,0.922,0.9247,0.9031,0.91803,-0.4597
24/10/2005,0.9182,0.92475,0.9104,0.91997,0.2113
31/10/2005,0.91991,0.9241,0.9,0.90498,-1.6294
07/11/2005,0.90472,0.9113,0.9021,0.90798,0.3315
14/11/2005,0.90752,0.9114,0.8957,0.90375,-0.4659
21/11/2005,0.9036,0.90798,0.8839,0.88531,-2.0404
28/11/2005,0.88522,0.89652,0.879,0.8806,-0.532
05/12/2005,0.8808,0.8927,0.8785,0.887,0.7268
12/12/2005,0.8869,0.9021,0.8865,0.90088,1.5648
19/12/2005,0.9005,0.905,0.8859,0.89068,-1.1322
26/12/2005,0.89055,0.89613,0.8812,0.889,-0.1886
02/01/2006,0.88887,0.9197,0.88213,0.9168,3.1271
09/01/2006,0.9165,0.9197,0.9013,0.9097,-0.7744
16/01/2006,0.9094,0.9188,0.8972,0.9059,-0.4177
23/01/2006,0.9058,0.9181,0.8929,0.8955,-1.148
30/01/2006,0.8953,0.8963,0.88188,0.8828,-1.4182
06/02/2006,0.883,0.90371,0.8782,0.8822,-0.068
13/02/2006,0.8822,0.88554,0.8756,0.8783,-0.4421
20/02/2006,0.8785,0.8826,0.8697,0.87028,-0.9131
27/02/2006,0.8703,0.8783,0.8611,0.8776,0.8411
06/03/2006,0.87802,0.88548,0.8704,0.8812,0.4102
13/03/2006,0.8814,0.89886,0.8802,0.8975,1.8498
20/03/2006,0.8977,0.9049,0.8829,0.8897,-0.8691
27/03/2006,0.89,0.8998,0.8889,0.8955,0.6519
03/04/2006,0.89548,0.9077,0.8793,0.88267,-1.4327
10/04/2006,0.88264,0.88899,0.87801,0.8883,0.6378
17/04/2006,0.88834,0.90026,0.88683,0.89273,0.4987
24/04/2006,0.89256,0.90353,0.88607,0.90143,0.9745
01/05/2006,0.90146,0.90589,0.89174,0.90201,0.0643
08/05/2006,0.90206,0.92917,0.89839,0.92904,2.9966
15/05/2006,0.92882,0.93051,0.91283,0.92062,-0.9063
22/05/2006,0.92026,0.93076,0.89923,0.90061,-2.1735
29/05/2006,0.90088,0.91372,0.89962,0.9135,1.4313
05/06/2006,0.91376,0.91912,0.8957,0.89617,-1.8971
12/06/2006,0.8961,0.91262,0.8887,0.9115,1.7106
19/06/2006,0.91177,0.9121,0.8941,0.898,-1.4811
26/06/2006,0.89803,0.9142,0.8912,0.91403,1.7851
03/07/2006,0.91434,0.91434,0.8979,0.9113,-0.2987
10/07/2006,0.9114,0.924,0.9089,0.91337,0.2271
17/07/2006,0.91354,0.9208,0.9031,0.9204,0.7697
24/07/2006,0.92065,0.92065,0.9077,0.9164,-0.4346
31/07/2006,0.9165,0.925,0.91,0.9215,0.5565
07/08/2006,0.9215,0.92267,0.9021,0.9071,-1.5627
14/08/2006,0.9066,0.9136,0.9041,0.9128,0.6284
21/08/2006,0.91303,0.9166,0.8918,0.895,-1.95
