Date,Open,High,Low,Close,Change %
21/03/2005,0.64487,0.64558,0.6423,0.64309,-0.276024625
28/03/2005,0.64309,0.64599,0.64263,0.64362,0.082414592
04/04/2005,0.64375,0.64633,0.64292,0.64583,0.343370312
11/04/2005,0.64595,0.64645,0.64214,0.64495,-0.136258768
18/04/2005,0.64487,0.64965,0.64458,0.64813,0.493061478
25/04/2005,0.64813,0.65117,0.64717,0.64981,0.259207258
02/05/2005,0.64973,0.65015,0.64516,0.64608,-0.574013943
09/05/2005,0.6462,0.64834,0.64545,0.64671,0.097511144
16/05/2005,0.64675,0.64859,0.64499,0.64545,-0.194832305
23/05/2005,0.64545,0.64876,0.64508,0.64717,0.26648075
30/05/2005,0.64725,0.65325,0.64658,0.65249,0.822040577
06/06/2005,0.65249,0.65364,0.64952,0.65036,-0.326441785
13/06/2005,0.65045,0.651,0.64645,0.64805,-0.355187896
20/06/2005,0.64805,0.65015,0.64704,0.6488,0.115731811
27/06/2005,0.64901,0.64918,0.64305,0.64545,-0.516337855
04/07/2005,0.64629,0.64725,0.64255,0.64276,-0.416763498
11/07/2005,0.64247,0.64371,0.64057,0.64098,-0.276930736
18/07/2005,0.64066,0.64119,0.63849,0.6391,-0.293300883
25/07/2005,0.63902,0.64135,0.63828,0.6398,0.109529025
01/08/2005,0.64,0.64296,0.63943,0.6409,0.171928728
08/08/2005,0.64086,0.64466,0.64037,0.64441,0.547667343
15/08/2005,0.6445,0.64691,0.64383,0.64499,0.090004811
22/08/2005,0.64504,0.64838,0.64271,0.6465,0.234112157
29/08/2005,0.64679,0.65424,0.64425,0.64906,0.395978345
05/09/2005,0.6491,0.64918,0.64696,0.64809,-0.149446892
12/09/2005,0.64809,0.64821,0.64296,0.64466,-0.529247481
19/09/2005,0.64466,0.64562,0.64218,0.64251,-0.333509137
26/09/2005,0.64243,0.64367,0.64135,0.64309,0.090270969
03/10/2005,0.64305,0.64717,0.64259,0.64475,0.258128722
10/10/2005,0.64479,0.64666,0.64408,0.64475,0
17/10/2005,0.6447,0.64918,0.6423,0.64788,0.48545948
24/10/2005,0.64788,0.64838,0.64562,0.64725,-0.09724023
31/10/2005,0.64729,0.64863,0.64558,0.647,-0.038624952
07/11/2005,0.647,0.65091,0.64683,0.65024,0.500772798
14/11/2005,0.65007,0.65024,0.64533,0.64583,-0.678211122
21/11/2005,0.64583,0.64758,0.64437,0.64712,0.199742966
28/11/2005,0.64712,0.64842,0.64458,0.64771,0.091173198
05/12/2005,0.64763,0.65096,0.64687,0.6499,0.33811428
12/12/2005,0.64977,0.65053,0.64475,0.64516,-0.729342976
19/12/2005,0.64495,0.64549,0.64168,0.64296,-0.341000682
26/12/2005,0.64292,0.64354,0.63727,0.64263,-0.051325121
02/01/2006,0.64259,0.64876,0.64214,0.64788,0.816955324
09/01/2006,0.64788,0.64863,0.64487,0.64516,-0.419830833
16/01/2006,0.64504,0.64662,0.64334,0.64541,0.038750078
23/01/2006,0.64545,0.64654,0.64263,0.64379,-0.251003238
30/01/2006,0.64396,0.64429,0.64164,0.64259,-0.186396185
06/02/2006,0.64259,0.64416,0.63379,0.64276,0.026455438
13/02/2006,0.64259,0.64317,0.63918,0.63943,-0.518078287
20/02/2006,0.63935,0.64212,0.63865,0.63926,-0.026586178
27/02/2006,0.63926,0.64074,0.6378,0.64045,0.186152739
06/03/2006,0.6407,0.64158,0.63698,0.63715,-0.515262706
13/03/2006,0.63715,0.63967,0.63524,0.63601,-0.178921761
20/03/2006,0.63597,0.63694,0.63339,0.63412,-0.297165139
27/03/2006,0.63412,0.6367,0.63215,0.63275,-0.216047436
03/04/2006,0.63287,0.63593,0.63056,0.63512,0.374555512
10/04/2006,0.63516,0.63694,0.63343,0.63589,0.121236932
17/04/2006,0.63593,0.63943,0.63444,0.63549,-0.062903961
24/04/2006,0.63545,0.63971,0.63183,0.6391,0.568065587
01/05/2006,0.63918,0.64189,0.63853,0.64078,0.26286966
08/05/2006,0.64082,0.6465,0.63996,0.64654,0.89890446
15/05/2006,0.64654,0.64683,0.64226,0.64367,-0.443901383
22/05/2006,0.6435,0.64622,0.63971,0.64012,-0.55152485
29/05/2006,0.64016,0.64222,0.63873,0.64107,0.148409673
05/06/2006,0.64107,0.64284,0.63939,0.64226,0.185627155
12/06/2006,0.64218,0.64508,0.64168,0.64259,0.051381061
19/06/2006,0.64251,0.64276,0.63902,0.63975,-0.441961437
26/06/2006,0.64,0.64049,0.63763,0.63906,-0.107854631
03/07/2006,0.63918,0.63922,0.63646,0.6382,-0.134572654
10/07/2006,0.6382,0.64103,0.63731,0.6407,0.391726731
17/07/2006,0.64082,0.64127,0.63589,0.63674,-0.618073982
24/07/2006,0.63674,0.63698,0.63323,0.63565,-0.171184471
31/07/2006,0.63569,0.63688,0.63331,0.63536,-0.045622591
07/08/2006,0.63532,0.63633,0.63195,0.63335,-0.316356082
14/08/2006,0.63331,0.63428,0.63171,0.63211,-0.195784321
21/08/2006,0.63211,0.63416,0.63191,0.63227,0.02531205
28/08/2006,0.63231,0.63512,0.63187,0.63311,0.132854635
04/09/2006,0.63319,0.63323,0.63088,0.63219,-0.1453144
11/09/2006,0.63227,0.63335,0.62617,0.62909,-0.490358911
18/09/2006,0.62909,0.63311,0.62716,0.63255,0.550000795
25/09/2006,0.63247,0.63438,0.62901,0.63084,-0.270334361
02/10/2006,0.63072,0.63171,0.62834,0.62949,-0.21400038
09/10/2006,0.62952,0.6302,0.62649,0.62763,-0.295477291
16/10/2006,0.62763,0.63032,0.62735,0.62956,0.307506015
23/10/2006,0.6296,0.62988,0.62708,0.62909,-0.074655315
30/10/2006,0.62901,0.63044,0.62653,0.62735,-0.276589995
06/11/2006,0.62731,0.62816,0.62566,0.62802,0.106798438
13/11/2006,0.62806,0.62838,0.62465,0.62664,-0.219738225
20/11/2006,0.62661,0.63237,0.62602,0.63135,0.751627729
27/11/2006,0.63139,0.63159,0.62771,0.62854,-0.445078007
04/12/2006,0.62873,0.6302,0.62723,0.62893,0.062048557
11/12/2006,0.62893,0.62933,0.62508,0.62578,-0.500850651
18/12/2006,0.62586,0.62602,0.6229,0.62414,-0.262072933
25/12/2006,0.62414,0.62582,0.62089,0.62112,-0.483865799
01/01/2007,0.62147,0.62305,0.61835,0.62212,0.160999485
08/01/2007,0.62212,0.62247,0.61839,0.62,-0.340770269
15/01/2007,0.61992,0.62046,0.61713,0.61782,-0.351612903
22/01/2007,0.61789,0.61992,0.61554,0.61755,-0.043702049
29/01/2007,0.61759,0.61862,0.61497,0.61816,0.098777427
05/02/2007,0.61814,0.62154,0.61448,0.61573,-0.393102109
12/02/2007,0.61584,0.61744,0.61391,0.61671,0.159160671
19/02/2007,0.61675,0.61702,0.61395,0.61622,-0.079453876
26/02/2007,0.61618,0.62367,0.61573,0.62367,1.208983804
05/03/2007,0.62371,0.62755,0.61629,0.61757,-0.978081357
12/03/2007,0.6177,0.62367,0.61732,0.62267,0.825817316
19/03/2007,0.62255,0.62267,0.61671,0.61732,-0.859203109
26/03/2007,0.6174,0.61908,0.61474,0.6161,-0.197628458
02/04/2007,0.61614,0.61675,0.61065,0.61151,-0.745008927
09/04/2007,0.61151,0.61211,0.60728,0.60731,-0.686824418
16/04/2007,0.60731,0.61256,0.60328,0.60927,0.322734682
23/04/2007,0.60864,0.61084,0.60683,0.60872,-0.090271965
30/04/2007,0.60879,0.60879,0.60474,0.60742,-0.213562886
07/05/2007,0.60746,0.60901,0.60573,0.60658,-0.138289816
14/05/2007,0.6065,0.60661,0.60194,0.60201,-0.753404332
