Date,Open,High,Low,Close,Change %
21/03/2005,0.4471,0.44806,0.44484,0.4456,-0.3645
28/03/2005,0.44547,0.44639,0.43987,0.44163,-0.8909
04/04/2005,0.44161,0.44414,0.43928,0.44325,0.3668
11/04/2005,0.44323,0.4439,0.43704,0.43971,-0.7986
18/04/2005,0.43965,0.44441,0.43933,0.44127,0.3548
25/04/2005,0.44138,0.44227,0.43773,0.43831,-0.6708
02/05/2005,0.43813,0.44241,0.43754,0.43798,-0.0753
09/05/2005,0.43787,0.4432,0.4378,0.44073,0.6279
16/05/2005,0.44087,0.44705,0.44047,0.44363,0.6580
23/05/2005,0.44362,0.44734,0.44318,0.44477,0.2570
30/05/2005,0.44469,0.44508,0.43868,0.43982,-1.1129
06/06/2005,0.43991,0.44077,0.43367,0.43473,-1.1573
13/06/2005,0.43475,0.43668,0.43049,0.43329,-0.3312
20/06/2005,0.43326,0.43406,0.42928,0.4309,-0.5516
27/06/2005,0.43105,0.43779,0.42897,0.43712,1.4435
04/07/2005,0.43745,0.44552,0.43534,0.44245,1.2193
11/07/2005,0.44254,0.44349,0.43884,0.44019,-0.5108
18/07/2005,0.44034,0.4473,0.43945,0.44329,0.7042
25/07/2005,0.44319,0.44442,0.43973,0.44199,-0.2933
01/08/2005,0.44207,0.4542,0.44143,0.44502,0.6855
08/08/2005,0.44503,0.44576,0.44073,0.44202,-0.6741
15/08/2005,0.44205,0.44214,0.43638,0.43681,-1.1787
22/08/2005,0.4366,0.44214,0.43604,0.44062,0.8722
29/08/2005,0.44088,0.44492,0.43892,0.44234,0.3904
05/09/2005,0.44226,0.44271,0.43639,0.43649,-1.3225
12/09/2005,0.43643,0.43771,0.21704,0.43474,-0.4009
19/09/2005,0.43487,0.43743,0.43319,0.436,0.2898
26/09/2005,0.4359,0.43952,0.43502,0.43842,0.5550
03/10/2005,0.43863,0.44434,0.43601,0.44411,1.2978
10/10/2005,0.4443,0.44525,0.43906,0.44086,-0.7318
17/10/2005,0.44073,0.44169,0.43607,0.43799,-0.6510
24/10/2005,0.43763,0.44136,0.43693,0.43986,0.4270
31/10/2005,0.43992,0.44115,0.43655,0.43683,-0.6889
07/11/2005,0.43683,0.43919,0.43629,0.43778,0.2175
14/11/2005,0.43773,0.44366,0.43578,0.4429,1.1695
21/11/2005,0.44276,0.44387,0.44026,0.44212,-0.1761
28/11/2005,0.44213,0.44364,0.43716,0.43813,-0.9025
05/12/2005,0.43807,0.44138,0.43643,0.43768,-0.1027
12/12/2005,0.43745,0.44096,0.43582,0.43798,0.0685
19/12/2005,0.43789,0.44012,0.43443,0.43968,0.3881
26/12/2005,0.43971,0.4431,0.43615,0.44164,0.4458
02/01/2006,0.4418,0.44682,0.44092,0.44468,0.6883
09/01/2006,0.44456,0.44536,0.43927,0.44156,-0.7016
16/01/2006,0.44144,0.44416,0.44054,0.44283,0.2876
23/01/2006,0.44295,0.44533,0.43972,0.44047,-0.5329
30/01/2006,0.44049,0.44145,0.43553,0.4384,-0.4700
06/02/2006,0.43846,0.4443,0.4331,0.43856,0.0365
13/02/2006,0.43857,0.44085,0.43623,0.43843,-0.0296
20/02/2006,0.43831,0.43907,0.43361,0.4349,-0.8051
27/02/2006,0.4349,0.44036,0.43367,0.43982,1.1313
06/03/2006,0.44,0.44043,0.43739,0.43958,-0.0546
13/03/2006,0.43959,0.44199,0.439,0.44127,0.3845
20/03/2006,0.44131,0.44188,0.43692,0.43791,-0.7614
27/03/2006,0.43796,0.44169,0.43675,0.44129,0.7718
03/04/2006,0.44123,0.44501,0.44008,0.44124,-0.0113
10/04/2006,0.44126,0.4417,0.43808,0.43943,-0.4102
17/04/2006,0.43944,0.44259,0.43887,0.44005,0.1411
