Date,Open,High,Low,Close,Volume
1/12/2003,0.45035,0.4505,0.44646,0.44797,0
2/12/2003,0.44805,0.44993,0.44612,0.44899,0
3/12/2003,0.44901,0.45048,0.4483,0.45024,0
4/12/2003,0.45024,0.45241,0.44809,0.45111,0
5/12/2003,0.45092,0.45397,0.44966,0.45323,0
8/12/2003,0.45348,0.45607,0.45248,0.45502,0
9/12/2003,0.45489,0.45592,0.4521,0.45326,0
10/12/2003,0.45352,0.45426,0.4512,0.45257,0
11/12/2003,0.45287,0.45344,0.44862,0.45107,0
12/12/2003,0.45122,0.4541,0.45038,0.45331,0
15/12/2003,0.45075,0.45432,0.44968,0.45381,0
16/12/2003,0.45383,0.4552,0.45142,0.4525,0
17/12/2003,0.45248,0.45329,0.45068,0.45155,0
18/12/2003,0.45195,0.45247,0.44985,0.45163,0
19/12/2003,0.45141,0.4523,0.44988,0.45088,0
22/12/2003,0.45103,0.45384,0.45043,0.45048,0
23/12/2003,0.45048,0.45161,0.44185,0.45072,0
24/12/2003,0.45093,0.45332,0.44971,0.45134,0
25/12/2003,0.45147,0.45263,0.45078,0.45196,0
26/12/2003,0.45196,0.45271,0.44912,0.4495,0
29/12/2003,0.44984,0.45193,0.4494,0.45083,0
30/12/2003,0.45085,0.45296,0.45063,0.45268,0
31/12/2003,0.45237,0.45437,0.45058,0.4511,0
1/1/2004,0.4511,0.45179,0.44991,0.45141,0
2/1/2004,0.45127,0.4524,0.4489,0.4489,0
5/1/2004,0.45095,0.45244,0.4481,0.44899,0
6/1/2004,0.44884,0.44929,0.44506,0.4452,0
7/1/2004,0.44556,0.44595,0.4429,0.4434,0
8/1/2004,0.44356,0.44515,0.44165,0.44443,0
9/1/2004,0.4442,0.44483,0.44169,0.44454,0
12/1/2004,0.44388,0.44397,0.44039,0.44104,0
13/1/2004,0.44123,0.44377,0.44062,0.44345,0
14/1/2004,0.44331,0.45101,0.44093,0.44287,0
15/1/2004,0.44261,0.44375,0.43989,0.44059,0
16/1/2004,0.44058,0.44071,0.43818,0.43947,0
19/1/2004,0.4386,0.44212,0.43808,0.44122,0
20/1/2004,0.44115,0.44203,0.43945,0.44131,0
21/1/2004,0.44109,0.44136,0.43847,0.44073,0
22/1/2004,0.4406,0.44159,0.43877,0.4401,0
23/1/2004,0.44016,0.44231,0.43929,0.44047,0
26/1/2004,0.44059,0.4412,0.43781,0.43892,0
27/1/2004,0.43887,0.44176,0.43825,0.44124,0
28/1/2004,0.44122,0.44122,0.43688,0.43779,0
29/1/2004,0.43785,0.4391,0.43636,0.43715,0
30/1/2004,0.43727,0.43867,0.43534,0.43582,0
2/2/2004,0.43566,0.43632,0.43499,0.4351,0
3/2/2004,0.43627,0.43669,0.43437,0.43553,0
4/2/2004,0.4358,0.43669,0.43437,0.43644,0
5/2/2004,0.43627,0.43765,0.43565,0.43624,0
6/2/2004,0.43599,0.43954,0.43454,0.43879,0
9/2/2004,0.43735,0.4383,0.43451,0.4352,0
10/2/2004,0.43501,0.43609,0.432,0.43264,0
11/2/2004,0.43246,0.43315,0.4296,0.4296,0
12/2/2004,0.42973,0.43057,0.42861,0.42936,0
13/2/2004,0.42942,0.43039,0.42654,0.42786,0
16/2/2004,0.42827,0.4296,0.42798,0.42859,0
17/2/2004,0.42891,0.42996,0.4272,0.42781,0
18/2/2004,0.42745,0.42898,0.42602,0.42673,0
19/2/2004,0.42666,0.42749,0.42469,0.42637,0
20/2/2004,0.42625,0.42807,0.42502,0.42587,0
23/2/2004,0.42588,0.42829,0.4256,0.42637,0
24/2/2004,0.42627,0.42746,0.42461,0.42597,0
25/2/2004,0.42588,0.42642,0.4226,0.42387,0
26/2/2004,0.42397,0.4251,0.42282,0.4236,0
27/2/2004,0.42369,0.42544,0.42308,0.4238,0
1/3/2004,0.42406,0.42476,0.4213,0.42171,0
2/3/2004,0.42168,0.42213,0.41878,0.41923,0
3/3/2004,0.41907,0.4233,0.41822,0.4226,0
4/3/2004,0.42282,0.42481,0.42047,0.42457,0
5/3/2004,0.4244,0.42681,0.42348,0.42411,0
8/3/2004,0.4244,0.42478,0.42162,0.42424,0
9/3/2004,0.42433,0.42881,0.42291,0.42741,0
10/3/2004,0.42433,0.43095,0.42291,0.43056,0
11/3/2004,0.4307,0.43638,0.42982,0.43584,0
12/3/2004,0.43599,0.43733,0.43147,0.43164,0
15/3/2004,0.43388,0.43577,0.43246,0.43469,0
16/3/2004,0.43479,0.43511,0.43094,0.43128,0
17/3/2004,0.43119,0.43205,0.42947,0.4307,0
18/3/2004,0.43051,0.43457,0.42932,0.43351,0
19/3/2004,0.43324,0.43421,0.42897,0.42914,0
22/3/2004,0.42896,0.43121,0.42853,0.43056,0
23/3/2004,0.43057,0.43217,0.42855,0.42959,0
24/3/2004,0.4295,0.43023,0.42776,0.42875,0
25/3/2004,0.42891,0.43429,0.42846,0.43205,0
26/3/2004,0.43187,0.43253,0.4282,0.42853,0
29/3/2004,0.42902,0.42907,0.42728,0.42793,0
30/3/2004,0.42787,0.42931,0.42662,0.42709,0
31/3/2004,0.42703,0.43019,0.4267,0.42859,0
1/4/2004,0.42871,0.42871,0.4253,0.42637,0
2/4/2004,0.4265,0.42708,0.42241,0.42352,0
5/4/2004,0.42289,0.42498,0.41998,0.42024,0
6/4/2004,0.41993,0.42183,0.4196,0.42164,0
7/4/2004,0.4217,0.42612,0.41989,0.42522,0
8/4/2004,0.42527,0.42611,0.42365,0.42558,0
9/4/2004,0.42555,0.42628,0.42467,0.42504,0
12/4/2004,0.42556,0.42556,0.42352,0.42386,0
13/4/2004,0.42377,0.42431,0.42216,0.42298,0
14/4/2004,0.42307,0.43078,0.42257,0.4301,0
15/4/2004,0.4301,0.43251,0.42996,0.43097,0
16/4/2004,0.43112,0.43231,0.42796,0.42981,0
19/4/2004,0.43088,0.43088,0.42789,0.42838,0
20/4/2004,0.43112,0.43231,0.42578,0.42629,0
21/4/2004,0.42636,0.43063,0.42605,0.42915,0
22/4/2004,0.42902,0.43262,0.42857,0.43051,0
23/4/2004,0.43057,0.43125,0.42797,0.42962,0
26/4/2004,0.4278,0.42863,0.42582,0.42816,0
27/4/2004,0.42769,0.43083,0.42689,0.42993,0
28/4/2004,0.42985,0.4323,0.429,0.43213,0
29/4/2004,0.43216,0.43698,0.43166,0.4363,0
30/4/2004,0.436,0.437,0.43363,0.43421,0
3/5/2004,0.4342,0.43519,0.43328,0.43348,0
4/5/2004,0.43348,0.43577,0.43237,0.43456,0
5/5/2004,0.43476,0.43817,0.43413,0.43769,0
6/5/2004,0.43766,0.43802,0.43325,0.43379,0
7/5/2004,0.43385,0.4348,0.42911,0.42911,0
10/5/2004,0.43021,0.43386,0.42911,0.43298,0
11/5/2004,0.43307,0.43938,0.43294,0.43825,0
12/5/2004,0.43873,0.43873,0.43387,0.43594,0
13/5/2004,0.43597,0.43774,0.43473,0.43535,0
14/5/2004,0.43544,0.43897,0.43543,0.43862,0
17/5/2004,0.43857,0.44423,0.43829,0.44259,0
18/5/2004,0.44247,0.44371,0.43992,0.44114,0
19/5/2004,0.4413,0.44139,0.43637,0.43873,0
20/5/2004,0.43857,0.43966,0.43659,0.43805,0
21/5/2004,0.43782,0.43901,0.43526,0.43721,0
24/5/2004,0.43618,0.43708,0.43406,0.43596,0
25/5/2004,0.4359,0.43688,0.43319,0.43327,0
26/5/2004,0.43308,0.43419,0.43263,0.43326,0
27/5/2004,0.43296,0.43771,0.43238,0.43741,0
28/5/2004,0.43738,0.43752,0.43426,0.43565,0
31/5/2004,0.4361,0.43612,0.43415,0.43556,0
1/6/2004,0.43552,0.43686,0.43365,0.43566,0
2/6/2004,0.43598,0.43693,0.43481,0.43592,0
3/6/2004,0.43603,0.43706,0.43387,0.43495,0
4/6/2004,0.43473,0.43901,0.43394,0.43843,0
7/6/2004,0.43875,0.44013,0.43743,0.43921,0
8/6/2004,0.43927,0.44046,0.43825,0.43905,0
9/6/2004,0.43898,0.43957,0.43475,0.4355,0
10/6/2004,0.43557,0.43834,0.43481,0.43589,0
11/6/2004,0.43582,0.43783,0.43441,0.4373,0
14/6/2004,0.43528,0.43962,0.43514,0.43885,0
15/6/2004,0.43884,0.44007,0.43633,0.43685,0
16/6/2004,0.43692,0.43711,0.43095,0.43214,0
17/6/2004,0.43231,0.43548,0.43121,0.43422,0
18/6/2004,0.43447,0.43802,0.43365,0.4371,0
21/6/2004,0.43677,0.43845,0.43619,0.43783,0
22/6/2004,0.43813,0.43968,0.43685,0.43951,0
23/6/2004,0.43961,0.44066,0.43795,0.43867,0
24/6/2004,0.43901,0.44268,0.43825,0.44067,0
25/6/2004,0.44057,0.44092,0.43773,0.43827,0
28/6/2004,0.43855,0.43915,0.43695,0.43741,0
29/6/2004,0.43747,0.43866,0.43588,0.43707,0
30/6/2004,0.43705,0.44064,0.43676,0.43929,0
1/7/2004,0.43963,0.44057,0.43862,0.43946,0
2/7/2004,0.43976,0.44417,0.43902,0.44259,0
5/7/2004,0.44338,0.44341,0.44118,0.44209,0
6/7/2004,0.44212,0.44264,0.43867,0.43916,0
7/7/2004,0.4393,0.44057,0.43848,0.43948,0
8/7/2004,0.43948,0.44159,0.43853,0.44151,0
9/7/2004,0.44121,0.44154,0.43903,0.43911,0
12/7/2004,0.4392,0.43993,0.43728,0.43832,0
13/7/2004,0.43848,0.43863,0.43501,0.43554,0
14/7/2004,0.43554,0.43891,0.43502,0.43804,0
15/7/2004,0.43825,0.43898,0.43558,0.43623,0
16/7/2004,0.43641,0.4375,0.43424,0.4357,0
19/7/2004,0.43522,0.43608,0.43414,0.43546,0
20/7/2004,0.43546,0.43753,0.43348,0.43393,0
21/7/2004,0.43367,0.43531,0.43357,0.43492,0
22/7/2004,0.43492,0.43553,0.4335,0.43417,0
23/7/2004,0.43394,0.43506,0.43041,0.43072,0
26/7/2004,0.43072,0.4317,0.42906,0.42933,0
27/7/2004,0.42926,0.43114,0.4287,0.43028,0
28/7/2004,0.43018,0.4313,0.42916,0.42983,0
29/7/2004,0.42954,0.43199,0.42901,0.42924,0
30/7/2004,0.42932,0.43172,0.42807,0.42807,0
2/8/2004,0.42963,0.43101,0.42734,0.42819,0
3/8/2004,0.4281,0.4299,0.42733,0.42853,0
4/8/2004,0.42826,0.42999,0.42752,0.42938,0
