Country,Cases
Afghanistan,794
Albania,518
Algeria,2268
Andorra,682
Angola,19
Anguilla,3
Antigua and Barbuda,23
Argentina,2560
Armenia,1201
Aruba,95
Australia,6497
Austria,14448
Azerbaijan,1283
Bahamas,54
Bahrain,1700
Bangladesh,1572
Barbados,75
Belarus,4204
Belgium,34809
Belize,18
Benin,37
Bermuda,83
Bhutan,5
Bolivia,465
Bosnia and Herzegovina,1152
Botswana,15
Brazil,30425
British Virgin Islands,3
Brunei Darussalam,136
Bulgaria,800
Burkina Faso,543
Burundi,5
Cambodia,122
Cameroon,855
Canada,30081
Cape Verde,55
Cayman Islands,61
Central African Republic,12
Chad,27
Chile,8807
China,83754
Colombia,3233
Congo,117
Costa Rica,642
Cote dIvoire,688
Croatia,1791
Cuba,862
Curaۊao,14
Cyprus,735
Czechia,6433
Democratic Republic of the Congo,287
Denmark,6879
Djibouti,591
Dominica,16
Dominican Republic,3755
Ecuador,8225
Egypt,2673
El Salvador,164
Equatorial Guinea,51
Eritrea,35
Estonia,1434
Eswatini,16
Ethiopia,92
Falkland Islands (Malvinas),11
Faroe Islands,184
Fiji,17
Finland,3369
France,108847
French Polynesia,55
Gabon,95
Gambia,9
Georgia,348
Germany,133830
Ghana,641
Gibraltar,133
Greece,2207
Greenland,11
Grenada,14
Guam,135
Guatemala,214
Guernsey,234
Guinea,438
Guinea Bissau,46
Guyana,57
Haiti,43
Holy See,8
Honduras,442
Hungary,1763
Iceland,1739
India,13387
Indonesia,5516
Iran,77995
Iraq,1434
Ireland,13271
Isle of Man,284
Israel,12758
Italy,168941
Jamaica,143
Japan,9167
Jersey,223
Jordan,402
Kazakhstan,1470
Kenya,234
Kosovo,449
Kuwait,1524
Kyrgyzstan,489
Laos,19
Latvia,675
Lebanon,663
Liberia,73
Libya,49
Liechtenstein,81
Lithuania,1149
Luxembourg,3444
Madagascar,111
Malawi,16
Malaysia,5182
Maldives,25
Mali,171
Malta,412
Mauritania,7
Mauritius,324
Mexico,6297
Moldova,2154
Monaco,93
Mongolia,31
Montenegro,303
Montserrat,11
Morocco,2283
Mozambique,31
Myanmar,85
Namibia,16
Nepal,16
Netherlands,29214
New Caledonia,18
New Zealand,1086
Nicaragua,12
Niger,609
Nigeria,442
North Macedonia,1081
Northern Mariana Islands,13
Norway,6791
Oman,1019
Pakistan,7025
Palestine,294
Panama,4016
Papua New Guinea,7
Paraguay,174
Peru,12491
Philippines,5660
Poland,7918
Portugal,18841
Puerto Rico,1043
Qatar,4103
Romania,7707
Russia,27938
Rwanda,138
Saint Kitts and Nevis,14
Saint Lucia,15
Saint Vincent and the Grenadines,12
San Marino,426
Sao Tome and Principe,4
Saudi Arabia,6380
Senegal,335
Serbia,5318
Seychelles,11
Sierra Leone,15
Singapore,4427
Sint Maarten,57
Slovakia,977
Slovenia,1268
Somalia,80
South Africa,2605
South Korea,10635
South Sudan,4
Spain,182816
Sri Lanka,238
Sudan,32
Suriname,10
Sweden,12540
Switzerland,26651
Syria,33
Taiwan,395
Thailand,2700
Timor Leste,18
Togo,81
Trinidad and Tobago,114
Tunisia,822
Turkey,74193
Turks and Caicos islands,11
Uganda,55
Ukraine,4462
United Arab Emirates,5825
United Kingdom,103093
United Republic of Tanzania,94
United States of America,671331
United States Virgin Islands,51
Uruguay,552
Uzbekistan,1380
Venezuela,204
Vietnam,275
Yemen,1
Zambia,48
Zimbabwe,24
