Country,Cases
Albania,562
Algeria,2629
Andorra,713
Armenia,1339
Austria,14710
Azerbaijan,1398
Belarus,4779
Belgium,38496
Bosnia and Herzegovina,1269
Bulgaria,915
Croatia,1871
Cyprus,767
Czech Republic,6787
Denmark,7384
Egypt,3144
Estonia,1528
Finland,3783
France,112606
Georgia,394
Germany,141672
Gibraltar,133
Greece,2235
Greenland,11
Hungary,1984
Iceland,1771
Iran,82211
Iraq,1539
Ireland,15251
Isle of Man,298
Israel,13491
Italy,178972
Jordan,417
Kosovo,510
Latvia,727
Liechtenstein,82
Lithuania,1326
Luxembourg,3550
Malta,427
Moldova,2472
Monaco,98
Montenegro,308
Morocco,2855
Netherlands,32655
Macedonia,1207
Norway,7068
West Bank,322
Poland,9287
Portugal,20206
Romania,8746
Russia,42853
Saudi Arabia,9362
Republic of Serbia,6318
Slovakia,1161
Slovenia,1330
Spain,195944
Sweden,14385
Switzerland,27658
Syria,39
Tunisia,879
Turkey,86306
Ukraine,5710
United Arab Emirates,6781
United Kingdom,120067
Kazakhstan,1735
Lebanon,673
Libya,49
Kuwait,1915
