Date,Open,High,Low,Close,% Change DAX
21/03/2005,4322.470215,4347.720215,4275.549805,4343.600098,0.38
28/03/2005,4331.959961,4393.200195,4308.919922,4373.529785,0.69
04/04/2005,4355.839844,4413.240234,4323.240234,4400.680176,0.62
11/04/2005,4388.810059,4422.879883,4309.25,4312.25,-2.01
18/04/2005,4266.27002,4266.27002,4159.950195,4223.040039,-2.07
25/04/2005,4214.970215,4249.859863,4157.509766,4184.839844,-0.90
02/05/2005,4208.629883,4314.97998,4205.049805,4311.060059,3.02
09/05/2005,4305.689941,4306.319824,4232.399902,4275.700195,-0.82
16/05/2005,4266.819824,4379.569824,4232.669922,4360.680176,1.99
23/05/2005,4383.02002,4453.009766,4374.490234,4444.709961,1.93
30/05/2005,4445.209961,4551.890137,4440.359863,4510.390137,1.48
06/06/2005,4514.589844,4601.049805,4490.120117,4586.100098,1.68
13/06/2005,4597.330078,4623.580078,4537.910156,4604.569824,0.40
20/06/2005,4601.990234,4637.339844,4560.490234,4566.47998,-0.83
27/06/2005,4547.27002,4623.799805,4517.439941,4617.069824,1.11
04/07/2005,4620.859863,4636.959961,4444.939941,4597.970215,-0.41
11/07/2005,4616.359863,4723.649902,4616.359863,4712.899902,2.50
18/07/2005,4717.589844,4865.720215,4705.290039,4836.899902,2.63
25/07/2005,4843.689941,4913.02002,4819.419922,4886.5,1.03
01/08/2005,4882.390137,4934.939941,4827.180176,4827.180176,-1.21
08/08/2005,4837.049805,4990.569824,4827.299805,4937.330078,2.28
15/08/2005,4935.220215,4953.459961,4834.160156,4929.910156,-0.15
22/08/2005,4933.740234,4954.410156,4783.799805,4783.799805,-2.96
29/08/2005,4756.680176,4874.890137,4726.330078,4837.810059,1.13
05/09/2005,4853.600098,5020.470215,4850.529785,5005.930176,3.48
12/09/2005,5028.490234,5035.390137,4888.029785,4986.5,-0.39
19/09/2005,4928.140137,4967.310059,4827.859863,4882.580078,-2.08
26/09/2005,4938.180176,5061.839844,4938.180176,5044.120117,3.31
03/10/2005,5060.990234,5138.02002,4980.620117,5007.77002,-0.72
10/10/2005,5027.279785,5065.169922,4929.109863,4975.560059,-0.64
17/10/2005,4987.660156,4999,4825.959961,4838.399902,-2.76
24/10/2005,4838.25,4930.890137,4762.75,4825.640137,-0.26
31/10/2005,4854.589844,5013.950195,4854.589844,4995.240234,3.51
