Date,Open,High,Low,Close,% Change DJIA
21/03/2005,10629.90039,10630.49023,10430.53027,10442.87012,-1.7573
28/03/2005,10444.12988,10568.92969,10381.01953,10404.29981,-0.3693
04/04/2005,10401.70996,10557.11035,10356.70996,10461.33984,0.5482
11/04/2005,10462.08008,10529.76953,10076.57031,10087.50977,-3.5734
18/04/2005,10088.54004,10219.33984,10000.45996,10157.70996,0.6959
25/04/2005,10158.51953,10263.59961,10048.12012,10192.50977,0.3426
02/05/2005,10192,10405.76953,10188.07031,10345.40039,1.5000
09/05/2005,10345.40039,10384.86035,10075.54981,10140.12012,-1.9843
16/05/2005,10139.61035,10499.25977,10138.28027,10471.91016,3.2721
23/05/2005,10472.79981,10560.80957,10426.38965,10542.54981,0.6746
30/05/2005,10541.88965,10586.37012,10448.41016,10460.96973,-0.7738
06/06/2005,10461.63965,10578.83984,10430.96973,10512.62988,0.4938
13/06/2005,10503.57031,10656.29004,10474.37988,10623.07031,1.0505
20/06/2005,10621.54004,10646.24023,10297.83984,10297.83984,-3.0615
27/06/2005,10298.07031,10433.79004,10253.49023,10303.44043,0.0544
04/07/2005,10303.12988,10462.25977,10175.40039,10449.13965,1.4141
11/07/2005,10449.59961,10657.69043,10449.59961,10640.83008,1.8345
18/07/2005,10640.19043,10700.05957,10574.99023,10651.17969,0.0973
25/07/2005,10651.66016,10717.73047,10572.91992,10640.91016,-0.0964
01/08/2005,10641.78027,10699.19043,10554.4502,10558.03027,-0.7789
08/08/2005,10557.24023,10719.41016,10524.91016,10600.30957,0.4004
15/08/2005,10599.19043,10655.08008,10503.37012,10559.23047,-0.3875
22/08/2005,10559.23047,10641.15039,10383.98047,10397.29004,-1.5336
29/08/2005,10396.90039,10513.75977,10349.37012,10447.37012,0.4817
05/09/2005,10447.69043,10695.91992,10447.69043,10678.55957,2.2129
12/09/2005,10678.41016,10701.80957,10520.92969,10641.94043,-0.3429
19/09/2005,10641.87012,10644.57031,10350.95996,10419.58984,-2.0894
26/09/2005,10420.21973,10569.80957,10410.11035,10568.7002,1.4311
03/10/2005,10569.5,10608.55957,10218.08984,10292.30957,-2.6152
10/10/2005,10292.9502,10323.12012,10156.45996,10287.33984,-0.0483
17/10/2005,10287.41992,10432.78027,10193.4502,10215.21973,-0.7011
24/10/2005,10216.11035,10434.46973,10216.11035,10402.76953,1.8360
31/10/2005,10403.16992,10561.16016,10388.75977,10530.75977,1.2303
07/11/2005,10531.24023,10696.4502,10519.38965,10686.04004,1.4745
14/11/2005,10686.59961,10796.25977,10652.26953,10766.33008,0.7514
21/11/2005,10766.33008,10955.48047,10761.04981,10931.62012,1.5352
28/11/2005,10932.74023,10959.79004,10803.87012,10877.50977,-0.4950
05/12/2005,10876.9502,10936.2002,10729.66992,10778.58008,-0.9095
12/12/2005,10778.66016,10940.33984,10735.11035,10875.58984,0.9000
19/12/2005,10875.50977,10922.41016,10789.62012,10883.26953,0.0706
26/12/2005,10883.75,10932.82031,10709.41992,10717.5,-1.5232
02/01/2006,10718.29981,10968.83984,10684.4502,10959.30957,2.2562
09/01/2006,10959.46973,11047.75977,10921.53027,10959.87012,0.0051
16/01/2006,10957.87012,10957.87012,10661.15039,10667.38965,-2.6686
23/01/2006,10668.75,10932.33984,10666.34961,10907.20996,2.2482
30/01/2006,10908.49023,10967.57031,10779.05957,10793.62012,-1.0414
06/02/2006,10793.29981,10952.26953,10737.66992,10919.04981,1.1621
13/02/2006,10915.20996,11131.9502,10849.88965,11115.32031,1.7975
20/02/2006,11115.48047,11159.17969,11010.21973,11061.84961,-0.4811
27/02/2006,11062.80957,11132.61035,10978.61035,11021.58984,-0.3640
06/03/2006,11022.46973,11098.99023,10922.73047,11076.33984,0.4968
13/03/2006,11067.61035,11290.07031,11056.33008,11279.65039,1.8355
20/03/2006,11278.92969,11334.95996,11221.54004,11279.96973,0.0028
27/03/2006,11280.12988,11281.76953,11105.65039,11109.32031,-1.5129
03/04/2006,11113,11269.29981,11108.01953,11120.04004,0.0965
10/04/2006,11119.87988,11186.63965,11053.16992,11137.65039,0.1584
17/04/2006,11137.33008,11405.87988,11039.12012,11347.4502,1.8837
24/04/2006,11346.80957,11417.66016,11260.83984,11367.13965,0.1735
01/05/2006,11367.78027,11586.37988,11329.44043,11577.74023,1.8527
08/05/2006,11576.37012,11670.19043,11374.74023,11380.99023,-1.6994
15/05/2006,11380.42969,11460.54981,11075.21973,11144.05957,-2.0818
22/05/2006,11143.41992,11283.49023,11030.46973,11278.61035,1.2074
29/05/2006,11277.25,11285.82031,11085.37988,11247.87012,-0.2726
05/06/2006,11247.54981,11248.79004,10757.54981,10891.91992,-3.1646
12/06/2006,10892,11045.2002,10698.84961,11014.54981,1.1259
19/06/2006,11014.87012,11131.73047,10907.29004,10989.08984,-0.2311
26/06/2006,10990.29004,11235.62988,10902.48047,11150.21973,1.4663
03/07/2006,11149.33984,11257.08008,11066.00977,11090.66992,-0.5341
10/07/2006,11091.70996,11174.46973,10701.33984,10739.34961,-3.1677
17/07/2006,10739.34961,11038.48047,10683.32031,10868.37988,1.2015
24/07/2006,10868.7002,11243.30957,10868.62012,11219.7002,3.2325
31/07/2006,11218.90039,11344.16992,11083.86035,11240.34961,0.1840
07/08/2006,11239.46973,11276.29004,11042.63965,11088.03027,-1.3551
14/08/2006,11089.07031,11381.46973,11079.78027,11381.46973,2.6465
21/08/2006,11380.66992,11383.70996,11260.28027,11284.04981,-0.8560
28/08/2006,11285.33008,11476.48047,11273.49023,11464.15039,1.5961
04/09/2006,11461.83008,11488.16992,11323.83984,11392.11035,-0.6284
11/09/2006,11389.87012,11613.50977,11342.16992,11560.76953,1.4805
18/09/2006,11559.96973,11630.55957,11474.55957,11508.09961,-0.4556
25/09/2006,11509.29981,11741.99023,11486,11679.07031,1.4857
02/10/2006,11678.99023,11870.05957,11653.05957,11850.20996,1.4654
09/10/2006,11849.55957,11960.50977,11794.16992,11960.50977,0.9308
16/10/2006,11961.30957,12049.50977,11887.19043,12002.37012,0.3500
23/10/2006,12116.50977,12167.01953,11971.79004,12090.25977,0.7323
30/10/2006,12089.13965,12123.95996,11965.30957,11986.04004,-0.8620
06/11/2006,11985.16016,12196.32031,11984.75977,12108.42969,1.0211
13/11/2006,12097.7002,12342.55957,12084.80957,12342.55957,1.9336
20/11/2006,12340.70996,12361,12258.86035,12280.16992,-0.5055
27/11/2006,12279.12988,12279.53027,12072.59961,12194.12988,-0.7006
04/12/2006,12195.57031,12360.75977,12195.57031,12307.49023,0.9296
11/12/2006,12306.20996,12486.29981,12252.04981,12445.51953,1.1215
18/12/2006,12446.24023,12498.46973,12341.7002,12343.21973,-0.8220
25/12/2006,12341.94043,12529.87988,12337.04981,12463.15039,0.9716
01/01/2007,12459.54004,12580.34961,12365.41016,12398.00977,-0.5227
08/01/2007,12392.00977,12561.04004,12337.37012,12556.08008,1.2750
15/01/2007,12555.83984,12614,12523.54981,12565.53027,0.0753
22/01/2007,12565.53027,12623.4502,12431.33984,12487.01953,-0.6248
29/01/2007,12487.09961,12683.92969,12459.45996,12653.49023,1.3332
05/02/2007,12653.41016,12700.28027,12545.09961,12580.83008,-0.5742
12/02/2007,12580.11035,12779.03027,12536.20996,12767.57031,1.4843
19/02/2007,12766.84961,12795.92969,12628.01953,12647.48047,-0.9406
26/02/2007,12647.87988,12697.23047,12059.54004,12114.09961,-4.2173
05/03/2007,12111.61035,12330.87988,12039.11035,12276.32031,1.3391
12/03/2007,12275.67969,12349.9502,11939.61035,12110.41016,-1.3515
19/03/2007,12110.41016,12511.04981,12110.41016,12481.00977,3.0602
26/03/2007,12480.37012,12486.78027,12242.59961,12354.34961,-1.0148
02/04/2007,12354.51953,12572.46973,12324.28027,12560.2002,1.6662
09/04/2007,12562.63965,12615.37988,12428.21973,12612.12988,0.4134
16/04/2007,12611.63965,12966.29004,12611.30957,12961.98047,2.7739
23/04/2007,12961.98047,13148,12901.67969,13120.94043,1.2264
30/04/2007,13120.20996,13284.53027,13041.29981,13264.62012,1.0950
07/05/2007,13264.12988,13369.29004,13210.90039,13326.21973,0.4644
14/05/2007,13325.80957,13558.48047,13297.04004,13556.53027,1.7283
21/05/2007,13556.53027,13624.54981,13423.90039,13507.28027,-0.3633
28/05/2007,13507.28027,13692,13456.73047,13668.11035,1.1907
04/06/2007,13667.20996,13690.37988,13251.53027,13424.38965,-1.7831
11/06/2007,13424.38965,13688.66016,13287.62012,13639.48047,1.6022
18/06/2007,13639,13674.36035,13359.69043,13360.25977,-2.0472
25/06/2007,13360.08984,13524.54004,13259.86035,13408.62012,0.3620
02/07/2007,13409.59961,13633.62988,13409.51953,13611.67969,1.5144
09/07/2007,13612.66016,13932.29004,13474.79004,13907.25,2.1714
16/07/2007,13907.08984,14021.9502,13797.66992,13851.08008,-0.4039
23/07/2007,13851.73047,13973.99023,13265.46973,13265.46973,-4.2279
30/07/2007,13266.20996,13503.33008,13132.65039,13181.91016,-0.6299
06/08/2007,13183.12988,13695.82031,13057.86035,13239.54004,0.4372
13/08/2007,13239.54004,13338.15039,12517.94043,13079.08008,-1.2120
20/08/2007,13079.08008,13381.46973,12982.75,13378.87012,2.2921
27/08/2007,13377.16016,13428.9502,13034.78027,13357.74023,-0.1579
03/09/2007,13358.38965,13494.05957,13082.16992,13113.37988,-1.8294
10/09/2007,13116.38965,13469.26953,13021.92969,13442.51953,2.5100
17/09/2007,13441.9502,13877.16992,13362.37012,13820.19043,2.8095
24/09/2007,13821.57031,13924.80957,13696.30957,13895.62988,0.5459
01/10/2007,13895.70996,14124.54004,13893.50977,14066.00977,1.2261
08/10/2007,14065.36035,14198.09961,13950.25,14093.08008,0.1925
15/10/2007,14092.42969,14118.51953,13511.94043,13522.01953,-4.0521
22/10/2007,13521.62012,13811.25,13407.49023,13806.7002,2.1053
29/10/2007,13807.34961,13962.53027,13446.01953,13595.09961,-1.5326
05/11/2007,13592.58008,13669.71973,13017.29981,13042.74023,-4.0629
12/11/2007,13039.16016,13367.16992,12975.11035,13176.79004,1.0278
19/11/2007,13176.29981,13176.29981,12786.03027,12980.87988,-1.4868
26/11/2007,12979.99023,13466.99023,12724.08984,13371.71973,3.0109
03/12/2007,13368.21973,13668.09961,13237.58984,13625.58008,1.8985
10/12/2007,13623.54981,13780.11035,13321.63965,13339.84961,-2.0970
17/12/2007,13339.2002,13473.98047,13092,13450.65039,0.8306
24/12/2007,13450.73047,13563.48047,13298.15039,13365.87012,-0.6303
31/12/2007,13364.16016,13364.73047,12789.04004,12800.17969,-4.2324
07/01/2008,12801.15039,12931.29004,12501.75977,12606.29981,-1.5147
14/01/2008,12613.78027,12794.57031,12022.48047,12099.29981,-4.0218
21/01/2008,12092.71973,12486.88965,11634.82031,12207.16992,0.8915
28/01/2008,12205.70996,12767.74023,12112.13965,12743.19043,4.3910
04/02/2008,12743.11035,12749.78027,12103.37012,12182.12988,-4.4028
11/02/2008,12181.88965,12573.12988,12069.46973,12348.20996,1.3633
18/02/2008,12349.58984,12505.25,12155.25977,12381.01953,0.2657
25/02/2008,12380.76953,12756.55957,12223.57031,12266.38965,-0.9259
03/03/2008,12264.36035,12349.66992,11819.69043,11893.69043,-3.0384
10/03/2008,11893.04004,12303.34961,11731.59961,11951.08984,0.4826
17/03/2008,11946.4502,12461.53027,11756.59961,12361.32031,3.4326
24/03/2008,12361.96973,12622.07031,12196.87012,12216.40039,-1.1724
31/03/2008,12215.91992,12696.29004,12176.11035,12609.41992,3.2171
