Date,Open,High,Low,Close,Volume
1/12/2003,1.6605,1.6613,1.642,1.6433,0
2/12/2003,1.6435,1.6547,1.6397,1.6505,0
3/12/2003,1.6496,1.6538,1.6402,1.6441,0
4/12/2003,1.6438,1.6484,1.6372,1.6412,0
5/12/2003,1.6415,1.6563,1.6406,1.6542,0
8/12/2003,1.6524,1.653,1.6435,1.6498,0
9/12/2003,1.6497,1.6549,1.6481,1.6541,0
10/12/2003,1.6541,1.6563,1.6457,1.6494,0
11/12/2003,1.6492,1.6565,1.6478,1.6513,0
12/12/2003,1.6514,1.6591,1.6463,1.6559,0
15/12/2003,1.6481,1.6564,1.6468,1.6547,0
16/12/2003,1.6556,1.6593,1.6534,1.6569,0
17/12/2003,1.6567,1.6822,1.656,1.6774,0
18/12/2003,1.6771,1.6853,1.6693,1.6761,0
19/12/2003,1.6757,1.6841,1.6752,1.6814,0
22/12/2003,1.6838,1.6936,1.6825,1.6877,0
23/12/2003,1.6883,1.6917,1.6299,1.6788,0
24/12/2003,1.6785,1.6805,1.6716,1.6764,0
25/12/2003,1.6777,1.6809,1.6749,1.6751,0
26/12/2003,1.6754,1.679,1.6722,1.6741,0
29/12/2003,1.6757,1.6827,1.6738,1.6778,0
30/12/2003,1.6778,1.6798,1.6703,1.6751,0
31/12/2003,1.675,1.6819,1.6685,1.6754,0
1/1/2004,1.6731,1.6754,1.6578,1.6721,0
2/1/2004,1.6724,1.6734,1.6571,1.6575,0
5/1/2004,1.6619,1.6646,1.6467,1.6522,0
6/1/2004,1.6518,1.6592,1.6461,1.6541,0
7/1/2004,1.6539,1.6589,1.6426,1.6451,0
8/1/2004,1.6452,1.6491,1.636,1.6487,0
9/1/2004,1.6482,1.658,1.6402,1.6574,0
12/1/2004,1.6514,1.659,1.6365,1.6402,0
13/1/2004,1.64,1.6419,1.6316,1.6384,0
14/1/2004,1.6383,1.6785,1.6242,1.6334,0
15/1/2004,1.6324,1.6382,1.6291,1.6322,0
16/1/2004,1.632,1.6356,1.6155,1.6242,0
19/1/2004,1.6269,1.6431,1.6261,1.6358,0
20/1/2004,1.6364,1.6408,1.6304,1.6391,0
21/1/2004,1.6381,1.6393,1.6256,1.635,0
22/1/2004,1.635,1.6424,1.629,1.6359,0
23/1/2004,1.6351,1.6406,1.6277,1.6319,0
26/1/2004,1.6285,1.6301,1.6163,1.6219,0
27/1/2004,1.6219,1.6243,1.6109,1.6212,0
28/1/2004,1.6212,1.6247,1.6128,1.6152,0
29/1/2004,1.6148,1.6342,1.6125,1.6278,0
30/1/2004,1.6281,1.6401,1.6217,1.6348,0
2/2/2004,1.6306,1.6444,1.6287,1.6375,0
3/2/2004,1.6443,1.6473,1.6381,1.6441,0
4/2/2004,1.6443,1.6473,1.6381,1.6446,0
5/2/2004,1.6443,1.6495,1.641,1.6476,0
6/2/2004,1.6475,1.6546,1.6405,1.6508,0
9/2/2004,1.6483,1.6483,1.6302,1.6327,0
10/2/2004,1.6337,1.6368,1.6226,1.6252,0
11/2/2004,1.6258,1.633,1.6236,1.6289,0
12/2/2004,1.6288,1.6316,1.6197,1.6231,0
13/2/2004,1.6232,1.6247,1.6105,1.6112,0
16/2/2004,1.6086,1.6145,1.6074,1.6116,0
17/2/2004,1.6118,1.615,1.6051,1.6108,0
18/2/2004,1.612,1.6163,1.6041,1.6085,0
19/2/2004,1.6089,1.6104,1.6031,1.6073,0
20/2/2004,1.6072,1.6344,1.6063,1.6265,0
23/2/2004,1.6225,1.6297,1.6165,1.6238,0
24/2/2004,1.6245,1.6304,1.6194,1.6258,0
25/2/2004,1.6258,1.628,1.6146,1.6181,0
26/2/2004,1.6179,1.6194,1.6098,1.6137,0
27/2/2004,1.6142,1.6188,1.6091,1.6139,0
1/3/2004,1.617,1.6181,1.6058,1.6102,0
2/3/2004,1.6097,1.6105,1.5953,1.6064,0
3/3/2004,1.6066,1.6303,1.6033,1.6268,0
4/3/2004,1.6271,1.6279,1.6142,1.6251,0
5/3/2004,1.6247,1.6343,1.6194,1.6265,0
8/3/2004,1.6302,1.6375,1.6276,1.6323,0
9/3/2004,1.6328,1.6334,1.6195,1.6233,0
10/3/2004,1.6328,1.6419,1.6195,1.6295,0
11/3/2004,1.631,1.6818,1.6303,1.6791,0
12/3/2004,1.6792,1.6906,1.6604,1.6643,0
15/3/2004,1.6662,1.6784,1.6616,1.6643,0
16/3/2004,1.6647,1.6707,1.6508,1.652,0
17/3/2004,1.6524,1.6588,1.6475,1.6506,0
18/3/2004,1.6503,1.6543,1.6426,1.6473,0
19/3/2004,1.6466,1.6576,1.6373,1.6373,0
22/3/2004,1.642,1.6477,1.6344,1.6381,0
23/3/2004,1.6386,1.6417,1.6321,1.6391,0
24/3/2004,1.6389,1.6426,1.6231,1.6307,0
25/3/2004,1.6313,1.6471,1.6278,1.6357,0
26/3/2004,1.6362,1.6421,1.62,1.6229,0
29/3/2004,1.6255,1.6308,1.6188,1.6261,0
30/3/2004,1.6261,1.6287,1.6104,1.6144,0
31/3/2004,1.6143,1.6154,1.6021,1.6083,0
1/4/2004,1.6077,1.6186,1.6052,1.612,0
2/4/2004,1.6117,1.6161,1.5794,1.5794,0
5/4/2004,1.6037,1.6037,1.5901,1.5938,0
6/4/2004,1.593,1.5966,1.5824,1.5909,0
7/4/2004,1.5917,1.5948,1.5823,1.588,0
8/4/2004,1.5879,1.5942,1.5818,1.584,0
9/4/2004,1.5843,1.5874,1.5787,1.5822,0
12/4/2004,1.5851,1.5851,1.5697,1.5748,0
13/4/2004,1.5748,1.5857,1.5687,1.5835,0
14/4/2004,1.5833,1.6311,1.5821,1.6248,0
15/4/2004,1.6246,1.6269,1.61,1.6153,0
16/4/2004,1.615,1.6211,1.6103,1.6126,0
19/4/2004,1.6117,1.613,1.6049,1.6104,0
20/4/2004,1.615,1.6211,1.6086,1.6151,0
21/4/2004,1.6159,1.6274,1.6128,1.6188,0
22/4/2004,1.6186,1.6337,1.6178,1.6233,0
23/4/2004,1.6231,1.6278,1.6123,1.6126,0
26/4/2004,1.615,1.6195,1.6118,1.6149,0
27/4/2004,1.6154,1.6283,1.612,1.6202,0
28/4/2004,1.6205,1.6403,1.6197,1.6395,0
29/4/2004,1.6391,1.6609,1.6387,1.6587,0
30/4/2004,1.6589,1.6647,1.651,1.6614,0
3/5/2004,1.658,1.6643,1.6525,1.6563,0
4/5/2004,1.6563,1.6617,1.6494,1.6585,0
5/5/2004,1.6585,1.6644,1.6544,1.6606,0
6/5/2004,1.6603,1.6747,1.6548,1.6693,0
7/5/2004,1.669,1.6947,1.6674,1.686,0
10/5/2004,1.6877,1.7127,1.6875,1.7037,0
11/5/2004,1.7027,1.7068,1.6963,1.6996,0
12/5/2004,1.6989,1.7129,1.6925,1.7052,0
13/5/2004,1.7057,1.7257,1.7038,1.7141,0
14/5/2004,1.7141,1.7268,1.7099,1.7172,0
17/5/2004,1.7206,1.7572,1.7187,1.7575,0
18/5/2004,1.758,1.7663,1.7365,1.7369,0
19/5/2004,1.7371,1.7374,1.7104,1.7246,0
20/5/2004,1.7248,1.7293,1.7124,1.7162,0
21/5/2004,1.7165,1.7254,1.7084,1.719,0
24/5/2004,1.7148,1.7234,1.7056,1.7205,0
25/5/2004,1.7203,1.7215,1.7053,1.71,0
26/5/2004,1.7095,1.7157,1.7035,1.7102,0
27/5/2004,1.7106,1.7131,1.7014,1.709,0
28/5/2004,1.7089,1.7178,1.7039,1.7096,0
31/5/2004,1.7138,1.7145,1.6997,1.7026,0
1/6/2004,1.7027,1.7347,1.7001,1.7276,0
2/6/2004,1.7281,1.7614,1.7258,1.7543,0
3/6/2004,1.7537,1.7802,1.7475,1.7729,0
4/6/2004,1.772,1.7728,1.759,1.7629,0
7/6/2004,1.7625,1.7676,1.74,1.7447,0
8/6/2004,1.745,1.7536,1.7416,1.7493,0
9/6/2004,1.7504,1.756,1.7423,1.7451,0
10/6/2004,1.745,1.7529,1.7292,1.7368,0
11/6/2004,1.7359,1.74,1.729,1.7315,0
14/6/2004,1.7401,1.7576,1.7359,1.7518,0
15/6/2004,1.7521,1.7694,1.739,1.7466,0
16/6/2004,1.7462,1.7508,1.7384,1.7442,0
17/6/2004,1.7442,1.7735,1.7433,1.7656,0
18/6/2004,1.7657,1.7674,1.7503,1.7618,0
21/6/2004,1.7583,1.7633,1.7487,1.7531,0
22/6/2004,1.7535,1.7634,1.7509,1.7607,0
23/6/2004,1.7607,1.7654,1.7538,1.7577,0
24/6/2004,1.7575,1.758,1.7346,1.7386,0
25/6/2004,1.7379,1.7423,1.7291,1.7413,0
28/6/2004,1.7408,1.7456,1.7373,1.7391,0
29/6/2004,1.739,1.7568,1.7369,1.7494,0
30/6/2004,1.7495,1.759,1.743,1.7455,0
1/7/2004,1.7478,1.7481,1.7199,1.7204,0
2/7/2004,1.7206,1.7324,1.7193,1.7235,0
5/7/2004,1.7292,1.7312,1.7205,1.7224,0
6/7/2004,1.7226,1.726,1.7119,1.7171,0
7/7/2004,1.7174,1.7209,1.7073,1.7094,0
8/7/2004,1.7094,1.7227,1.7082,1.7174,0
9/7/2004,1.7174,1.7202,1.7115,1.7194,0
12/7/2004,1.7101,1.7127,1.7021,1.7055,0
13/7/2004,1.7053,1.7082,1.6972,1.7019,0
14/7/2004,1.7017,1.7133,1.6971,1.7069,0
