Date,Open,High,Low,Close,% Change FTSE
21/03/2005,4923.299805,4952.200195,4887.200195,4922.5,-0.02
28/03/2005,4922.5,4942,4886.5,4914,-0.17
04/04/2005,4914,4994.100098,4877,4983.700195,1.42
11/04/2005,4983.600098,4983.600098,4891.600098,4891.600098,-1.85
18/04/2005,4891.600098,4891.600098,4794.799805,4849.299805,-0.86
25/04/2005,4849.299805,4879.600098,4773.700195,4801.700195,-0.98
02/05/2005,4801.700195,4924.600098,4801.700195,4918.899902,2.44
09/05/2005,4918.899902,4929.100098,4854.200195,4886.5,-0.66
16/05/2005,4886.5,4981.100098,4869,4971.799805,1.75
23/05/2005,4971.799805,5004.299805,4956.799805,4986.299805,0.29
30/05/2005,4986.299805,5016.600098,4964,4999.399902,0.26
06/06/2005,4999.399902,5047.299805,4976.200195,5030.399902,0.62
13/06/2005,5030.399902,5098.5,5013.399902,5077.600098,0.94
20/06/2005,5077.600098,5121.899902,5057.899902,5079,0.03
27/06/2005,5079,5162.600098,5036.899902,5161,1.61
04/07/2005,5161,5237.600098,5022.100098,5232.200195,1.38
11/07/2005,5232.200195,5283.899902,5216.200195,5230.899902,-0.02
18/07/2005,5230.799805,5258.399902,5180.200195,5241.799805,0.21
25/07/2005,5241.799805,5308.600098,5241.799805,5282.299805,0.77
01/08/2005,5282.299805,5341.799805,5282.299805,5314.799805,0.62
08/08/2005,5314.700195,5386.399902,5314.700195,5345.799805,0.58
15/08/2005,5345.799805,5367.799805,5263.700195,5312.600098,-0.62
22/08/2005,5312.600098,5329.700195,5228.100098,5228.100098,-1.59
29/08/2005,5228.100098,5342.100098,5228.100098,5326.899902,1.89
05/09/2005,5326.799805,5376.100098,5320.600098,5359.299805,0.61
12/09/2005,5359.299805,5418.700195,5327.100098,5407.899902,0.91
19/09/2005,5407.899902,5446.600098,5354.299805,5413.600098,0.11
26/09/2005,5413.600098,5508.399902,5413.600098,5477.700195,1.18
03/10/2005,5477.700195,5515,5355.700195,5362.299805,-2.11
10/10/2005,5362.299805,5404.399902,5245.600098,5275,-1.63
17/10/2005,5275,5303.200195,5130.899902,5142.100098,-2.52
24/10/2005,5142.100098,5236.5,5140.100098,5213.399902,1.39
31/10/2005,5213.399902,5446.399902,5213.399902,5423.600098,4.03
07/11/2005,5423.600098,5481.700195,5415.5,5465.100098,0.77
14/11/2005,5465.100098,5531.600098,5391.700195,5498.899902,0.62
21/11/2005,5498.899902,5539,5486.200195,5523.799805,0.45
28/11/2005,5523.799805,5554.899902,5423.200195,5528.100098,0.08
05/12/2005,5528.100098,5574,5492.799805,5517.399902,-0.19
12/12/2005,5517.399902,5552.600098,5489.299805,5531.600098,0.26
19/12/2005,5531.600098,5608.200195,5524.700195,5595.5,1.16
26/12/2005,5595.399902,5647.200195,5591.899902,5618.799805,0.42
02/01/2006,5618.799805,5731.799805,5618.799805,5731.799805,2.01
09/01/2006,5731.799805,5750.299805,5686.100098,5711,-0.36
16/01/2006,5711,5740.200195,5634.799805,5672.399902,-0.68
23/01/2006,5672.399902,5788.200195,5625,5786.799805,2.02
30/01/2006,5786.799805,5816,5728.200195,5759.299805,-0.48
06/02/2006,5759.299805,5808.899902,5681.899902,5764.100098,0.08
13/02/2006,5764.100098,5863.299805,5760.299805,5846.200195,1.42
20/02/2006,5846.200195,5888,5829.399902,5860.5,0.24
27/02/2006,5860.5,5893.299805,5783.899902,5858.700195,-0.03
06/03/2006,5858.700195,5924.5,5790.899902,5907.899902,0.84
13/03/2006,5907.899902,6044,5907.899902,5999.399902,1.55
20/03/2006,5999.399902,6039.100098,5956.700195,6036.299805,0.62
27/03/2006,6036.299805,6047,5927.200195,5964.600098,-1.19
03/04/2006,5964.600098,6074.200195,5964.600098,6026.100098,1.03
10/04/2006,6026.100098,6092.5,5974.5,6029.399902,0.05
17/04/2006,6029.399902,6137.100098,6026.100098,6132.700195,1.71
24/04/2006,6132.700195,6136.5,6023.100098,6023.100098,-1.79
01/05/2006,6023.100098,6100,6001.100098,6091.700195,1.14
08/05/2006,6091.700195,6133.5,5912.100098,5912.100098,-2.95
15/05/2006,5912.100098,5912.100098,5618.700195,5657.399902,-4.31
22/05/2006,5657.399902,5791,5510.5,5791,2.36
29/05/2006,5791,5802.899902,5591.5,5764.600098,-0.46
05/06/2006,5764.600098,5789.799805,5562.899902,5655.200195,-1.90
