Date,Open,High,Low,Close,Change %
21/03/2005,431.100006,431.299988,424.700012,424.700012,-3.32
28/03/2005,425.899994,428.700012,424.5,425.899994,0.28
04/04/2005,426,428.5,422.700012,426.899994,0.23
11/04/2005,426,430.200012,423.200012,424.899994,-0.47
18/04/2005,423.600006,435.799988,423.600006,434.299988,2.21
25/04/2005,432.700012,438.200012,432.700012,435,0.16
02/05/2005,429.5,429.799988,426.700012,426.100006,-2.05
09/05/2005,426.200012,427.200012,420.200012,420.200012,-1.38
16/05/2005,418.899994,421.5,416.5,417.399994,-0.67
23/05/2005,416.600006,420,416.600006,419.799988,0.57
30/05/2005,418,425.5,413.200012,423.700012,0.93
06/06/2005,423.600006,428.5,422,427.399994,0.87
13/06/2005,428.299988,439.299988,426.5,438.299988,2.55
20/06/2005,440,442.5,437.5,440.5,0.50
27/06/2005,440.700012,440.700012,427.799988,427.799988,-2.88
04/07/2005,422.899994,423.799988,422.899994,422.899994,-1.15
11/07/2005,425.5,426.299988,419.600006,420.700012,-0.52
18/07/2005,420.399994,425.399994,419.700012,424.700012,0.95
25/07/2005,425.700012,430.5,423.399994,429.899994,1.22
01/08/2005,430,439,429.100006,437.200012,1.70
08/08/2005,437,449.5,432.5,445.899994,1.99
15/08/2005,441.399994,443.299988,438,437.200012,-1.95
22/08/2005,437,439.700012,437,437.399994,0.05
29/08/2005,438.5,444.200012,431.200012,444.200012,1.55
05/09/2005,444.399994,449,444.399994,449,1.08
12/09/2005,449.700012,459.5,446.100006,459.5,2.34
19/09/2005,466.700012,468.899994,466.200012,463.5,0.87
26/09/2005,463.899994,474,462.600006,469,1.19
03/10/2005,467.799988,475.5,463.5,474.700012,1.22
10/10/2005,474.799988,478.5,467,469.200012,-1.16
17/10/2005,473,475,460.5,467,-0.47
24/10/2005,465.5,475.5,465,473,1.28
31/10/2005,471.100006,471.100006,455.299988,456.299988,-3.53
07/11/2005,459,468.299988,458.5,468.299988,2.63
14/11/2005,468.299988,486,468.100006,485.600006,3.69
21/11/2005,485.600006,492.600006,485.600006,492.100006,1.34
28/11/2005,502.200012,507,490.5,503.299988,2.28
05/12/2005,504.5,531,503.5,527,4.71
12/12/2005,526.5,538.5,495.200012,503.399994,-4.48
19/12/2005,509.5,509.5,490.100006,503,-0.08
26/12/2005,508.700012,517.299988,506,517.099976,2.80
02/01/2006,518.599976,539.700012,518.599976,539.700012,4.37
09/01/2006,539.700012,548.799988,539.700012,556.099976,3.04
16/01/2006,553.400024,558.400024,543.700012,553.5,-0.47
23/01/2006,555,562.200012,555,558.700012,0.94
30/01/2006,559.200012,575.299988,557.599976,567.400024,1.56
06/02/2006,568.400024,574,545.5,550.200012,-3.03
13/02/2006,548.5,552.5,535.5,551.799988,0.29
20/02/2006,550.5,560,547.5,558.799988,1.27
27/02/2006,556.099976,569.799988,552.5,566,1.29
06/03/2006,554.799988,554.799988,539.900024,539.900024,-4.61
13/03/2006,541,554.400024,541,554.099976,2.63
20/03/2006,555.200012,560,550.099976,560,1.06
27/03/2006,567,589.599976,566.599976,581.799988,3.89
03/04/2006,582,598.299988,582,588.400024,1.13
10/04/2006,589,604,589,596.5,1.38
17/04/2006,605,642,605,632.200012,5.98
24/04/2006,634,651.799988,620,651.799988,3.10
01/05/2006,658,682.200012,658,682.200012,4.66
08/05/2006,679,723,679,710.299988,4.12
15/05/2006,710.299988,710.299988,679.599976,656.700012,-7.55
22/05/2006,656.5,673,637,650.900024,-0.88
29/05/2006,650.700012,664.5,620,635.5,-2.37
05/06/2006,635.5,645,606.900024,608.200012,-4.30
12/06/2006,606,610,555,578,-4.97
19/06/2006,568.799988,588,568,584.799988,1.18
26/06/2006,583,614.5,580,613.5,4.91
03/07/2006,631,634.299988,624,632.799988,3.15
10/07/2006,632.799988,666.599976,632.799988,666.599976,5.34
17/07/2006,675.099976,677,628.299988,619.599976,-7.05
24/07/2006,619.599976,636.599976,612.700012,634.799988,2.45
31/07/2006,634.5,656,627,644,1.45
07/08/2006,651.200012,654.5,626,633.5,-1.63
14/08/2006,629.900024,631,609,612.099976,-3.38
21/08/2006,613.599976,628,613.599976,622,1.62
28/08/2006,621.700012,625.900024,610.5,624.400024,0.39
04/09/2006,624.400024,638.5,609.599976,609.599976,-2.37
11/09/2006,590,591,576.400024,576.400024,-5.45
18/09/2006,586.200012,589.400024,576.799988,589.400024,2.26
25/09/2006,589.900024,606.200012,589.900024,598.599976,1.56
02/10/2006,598.900024,604,560.5,572.400024,-4.38
09/10/2006,578,585.5,568,588.799988,2.87
16/10/2006,593.5,598.5,588.5,593,0.71
23/10/2006,579.700012,598.200012,576.5,598.200012,0.88
30/10/2006,608.5,626.900024,604.099976,626.900024,4.80
06/11/2006,625.799988,628.400024,616.400024,628.400024,0.24
13/11/2006,629,629,617.5,621.5,-1.10
20/11/2006,621.5,628.700012,621.5,628.700012,1.16
27/11/2006,637.200012,649.700012,634.5,644.700012,2.54
04/12/2006,647.099976,648,625,626.099976,-2.89
11/12/2006,623,632.5,613,615,-1.77
18/12/2006,614,622.700012,612,619.099976,0.67
25/12/2006,625.099976,635.200012,623,635.200012,2.60
01/01/2007,635.200012,640.400024,617.299988,604.900024,-4.77
08/01/2007,607.5,616.200012,607,625.5,3.41
15/01/2007,623.599976,633.5,623.599976,635.5,1.60
22/01/2007,633.299988,647.799988,633.299988,644.5,1.42
29/01/2007,643.099976,661.5,640.799988,646.200012,0.26
05/02/2007,649,669.5,647,667.5,3.30
12/02/2007,664.299988,672,661,668.799988,0.19
19/02/2007,671,685.299988,657.5,683.099976,2.14
26/02/2007,684.599976,687.700012,641.5,641.5,-6.09
05/03/2007,640.200012,653.400024,640,650,1.33
12/03/2007,648,652.900024,640.900024,652.599976,0.40
