Date,Open,High,Low,Close,% Change HS
21/03/2005,13822.9502,13865.12012,13547.83984,13597.09961,-1.67
28/03/2005,13552.09961,13556.13965,13357.16992,13491.34961,-0.78
04/04/2005,13474.36035,13686.99023,13436.95996,13666.71973,1.30
11/04/2005,13614.04981,13808.50977,13579.16016,13638.75,-0.20
18/04/2005,13382.01953,13727.44043,13337.44043,13693.54981,0.40
25/04/2005,13744.4502,13956.51953,13711.38965,13908.96973,1.57
02/05/2005,13969.63965,14110.29004,13877.91992,14033.95996,0.90
09/05/2005,14068.25977,14112.61035,13841.86035,13866.80957,-1.19
16/05/2005,13861.59961,13863.16016,13590.04981,13717.41992,-1.08
23/05/2005,13730.08984,13739.2002,13541.76953,13714.78027,-0.02
30/05/2005,13741.28027,13946.00977,13684.51953,13818.4502,0.76
06/06/2005,13768.03027,13984.33984,13745.67969,13934.75977,0.84
13/06/2005,13948.41992,13999.05957,13801.41992,13912.03027,-0.16
20/06/2005,13928.70996,14233.80957,13890.78027,14230.29004,2.29
27/06/2005,14142.49023,14365.04981,14142.13965,14201.05957,-0.21
04/07/2005,14188.34961,14202.08984,13920.87012,13964.46973,-1.67
11/07/2005,14065.33984,14550.16992,14047.00977,14504.29004,3.87
18/07/2005,14496.54981,14800.30957,14487.87012,14786.45996,1.95
25/07/2005,14794.92969,14899.70996,14743.69043,14880.98047,0.64
01/08/2005,14892.73047,15201.82031,14841.12012,15051.32031,1.14
08/08/2005,15033.98047,15480.79981,15024.54004,15450.9502,2.66
15/08/2005,15435.49023,15508.57031,15001.44043,15038.61035,-2.67
22/08/2005,15093.17969,15244.90039,14832,14982.88965,-0.37
29/08/2005,14851.67969,15249.15039,14734.42969,15221.88965,1.60
05/09/2005,15231.76953,15307.65039,15038.65039,15165.76953,-0.37
12/09/2005,15240.40039,15240.88965,14965.98047,14983.2002,-1.20
19/09/2005,14994.76953,15271.91016,14943.61035,15143.96973,1.07
26/09/2005,15166.16016,15470.50977,15127.99023,15428.51953,1.88
03/10/2005,15399.87012,15493,14798.91016,14847.79004,-3.76
10/10/2005,14898.83984,14933.92969,14439.12988,14485.87988,-2.44
17/10/2005,14551.74023,14649.70996,14308.61035,14487.84961,0.01
24/10/2005,14470.66992,14566.09961,14189.46973,14215.83008,-1.88
31/10/2005,14313.41992,14668.53027,14255.92969,14585.79004,2.60
07/11/2005,14498.83984,14808.46973,14317.50977,14740.59961,1.06
14/11/2005,14760.40039,14924.62012,14518.75,14883.32031,0.97
21/11/2005,14939.7002,15117.87988,14806.95996,15081.46973,1.33
28/11/2005,15099.62988,15232.32031,14866.09961,15200.37988,0.79
05/12/2005,15208.86035,15208.86035,14860.54004,14910.50977,-1.91
12/12/2005,14991.62012,15079.95996,14863.83984,15029.80957,0.80
19/12/2005,15044.90039,15272.71973,15044.90039,15183.58008,1.02
26/12/2005,15076.94043,15173.48047,14811.63965,14876.42969,-2.02
02/01/2006,14843.96973,15373.79004,14843.96973,15344.44043,3.15
09/01/2006,15497.96973,15792.36035,15497.71973,15787.96973,2.89
16/01/2006,15787.26953,15816.54004,15376.4502,15662.08008,-0.80
23/01/2006,15454.79981,15770.4502,15412.25977,15753.13965,0.58
30/01/2006,15798.44043,15808.17969,15420.66016,15429.73047,-2.05
06/02/2006,15415.87988,15564.95996,15327.07031,15425.9502,-0.02
13/02/2006,15303.04004,15520.59961,15240.9502,15475.69043,0.32
20/02/2006,15525.74023,15875.33008,15525.74023,15856.04981,2.46
27/02/2006,15943.63965,15999.30957,15768.20996,15802,-0.34
06/03/2006,15812.71973,15845.2002,15348.21973,15445.04981,-2.26
13/03/2006,15542.79004,15845.96973,15461.80957,15801.66016,2.31
20/03/2006,15868.49023,15973.00977,15619.13965,15716.45996,-0.54
27/03/2006,15743.66992,15964.34961,15694.11035,15805.04004,0.56
03/04/2006,15904.96973,16534.83008,15877.44043,16471.7793,4.22
10/04/2006,16383.58008,16527.93945,16260.87988,16429.44922,-0.26
17/04/2006,16534.90039,16991.51953,16533.07031,16912.15039,2.94
24/04/2006,16917.60938,16930.00977,16429.5,16661.30078,-1.48
01/05/2006,16764.58984,17099.48047,16744.16016,17013.92969,2.12
08/05/2006,17204.25,17328.42969,16845.84961,16901.84961,-0.66
15/05/2006,16623.34961,16673.5293,16155.76953,16313.36035,-3.48
22/05/2006,16295.37012,16304.9502,15626.9502,15895.09961,-2.56
29/05/2006,15976.26953,16006.07031,15605.95996,15912.70996,0.11
05/06/2006,15964.30957,16062.26953,15405.79004,15628.69043,-1.78
12/06/2006,15560.70996,15851.50977,15204.86035,15842.65039,1.37
19/06/2006,15759.95996,15885.70996,15520.41992,15808.80957,-0.21
26/06/2006,15756.67969,16273.74023,15613.2002,16267.62012,2.90
03/07/2006,16288.58984,16497.90039,16129.65039,16459.7793,1.18
10/07/2006,16376.82031,16606.61914,16062.59961,16135.70996,-1.97
17/07/2006,15980.5,16483.23047,15948.75977,16464.17969,2.04
24/07/2006,16376.37988,17034.55078,16354.44043,16955.03906,2.98
31/07/2006,17103.43945,17114.19922,16867.94922,16887.80078,-0.40
07/08/2006,16927.74023,17349.99023,16811.41992,17249.94922,2.14
14/08/2006,17280.07031,17506.21094,17215.00977,17330.69922,0.47
21/08/2006,17326.38086,17329.67969,16870.69922,16955.44922,-2.17
28/08/2006,16955.88086,17514.31055,16911.51953,17423.7207,2.76
04/09/2006,17504.33008,17538.58984,17044.92969,17145.75977,-1.60
11/09/2006,17141.60938,17304.74023,16921.5293,17237.65039,0.54
18/09/2006,17253.69922,17663.43945,17220.7793,17600.65039,2.11
25/09/2006,17546.03906,17683.44922,17277.75,17543.05078,-0.33
02/10/2006,17543.05078,17940.49023,17428.09961,17903.39063,2.05
09/10/2006,17876.03906,18067.58008,17589.11914,17988.85938,0.48
16/10/2006,18067.19922,18148.03906,17823.33008,18113.55078,0.69
23/10/2006,18170.2207,18465.53906,18066.10938,18297.55078,1.02
30/10/2006,18297.55078,18771.00977,18152.91016,18749.68945,2.47
06/11/2006,18702.25,19161.38086,18694.13086,18891.14063,0.75
13/11/2006,18763.43945,19237.73047,18717.60938,19182.71094,1.54
20/11/2006,19030.35938,19404.00977,18928.58008,19260.30078,0.40
27/11/2006,19263.85938,19328.11914,18618.66016,18690.82031,-2.96
04/12/2006,18654.07031,19131.2207,18587.7207,18739.99023,0.26
11/12/2006,18811.84961,19126.69922,18623.60938,19110.65039,1.98
18/12/2006,19094.63086,19320.51953,18905.43945,19320.51953,1.10
25/12/2006,19620.5293,20049.0293,19512.46094,19964.7207,3.33
01/01/2007,20004.83984,20554.58008,19757.24023,20211.2793,1.23
08/01/2007,19915,20173.06055,19350.5,19613.41016,-2.96
15/01/2007,19776.13086,20337.92969,19746.07031,20327.7207,3.64
22/01/2007,20501.44922,20971.46094,20204.66992,20281.13086,-0.23
29/01/2007,20317.39063,20704.09961,20008.59961,20563.67969,1.39
05/02/2007,20514.83008,20771.08984,20318.99023,20677.66016,0.55
12/02/2007,20534.42969,20696.65039,20127.11914,20567.91016,-0.53
19/02/2007,20567.91016,20844.25,20540.32031,20711.65039,0.70
26/02/2007,20520.44922,20581.41992,19346.59961,19442.00977,-6.13
05/03/2007,19137.35938,19259.09961,18659.23047,19134.88086,-1.58
12/03/2007,19252.36914,19470.36914,18738.50977,18953.5,-0.95
