Date,Open,High,Low,Close,% Change ISEQ
21/03/2005,6097.669922,6148.919922,6070.52002,6130.339844,0.55
28/03/2005,6133.319824,6154.870117,5966.97998,6029.22998,-1.65
04/04/2005,6029.370117,6323.859863,6009.819824,6149.609863,2.00
11/04/2005,6149.399902,6183.629883,6075.27002,6081.390137,-1.11
18/04/2005,6079.970215,6079.970215,5957.339844,5972.060059,-1.80
25/04/2005,5972.27002,5974.549805,5779.189941,5831.439941,-2.35
02/05/2005,5831.439941,6078.02002,5831.439941,6047.359863,3.70
09/05/2005,6047.359863,6074.169922,5965.540039,6028.330078,-0.31
16/05/2005,6027.390137,6173.919922,6008.200195,6157.620117,2.14
23/05/2005,6144.990234,6259.060059,6144.890137,6240.569824,1.35
30/05/2005,6240.160156,6323.009766,6215.680176,6294.069824,0.86
06/06/2005,6295.129883,6359.220215,6266.490234,6334.569824,0.64
13/06/2005,6334.77002,6447.390137,6316.720215,6437.27002,1.62
20/06/2005,6437.399902,6569.120117,6167.089844,6481.720215,0.69
27/06/2005,5950.200195,6557.009766,5950.200195,6556.759766,1.16
04/07/2005,6556.77002,6569.129883,6304.740234,6524.899902,-0.49
11/07/2005,6525.089844,6615.709961,6519.310059,6598.040039,1.12
18/07/2005,6598.040039,6797.939941,6585.790039,6797.939941,3.03
25/07/2005,6797.939941,6810.850098,6738.589844,6770.120117,-0.41
01/08/2005,6770.120117,6821.740234,6692.060059,6736.220215,-0.50
08/08/2005,6735.910156,6808.609863,6731.990234,6739.240234,0.04
15/08/2005,6739.240234,6739.870117,6661,6677.700195,-0.91
22/08/2005,6678.009766,6703.470215,6629.359863,6644.129883,-0.50
29/08/2005,6643.910156,6743.370117,6628.22998,6743.370117,1.49
05/09/2005,6743.379883,6833.430176,6735.470215,6808.910156,0.97
12/09/2005,6809.02002,6819.939941,6667.379883,6671.649902,-2.02
19/09/2005,6672.339844,6747.120117,6583.120117,6658.990234,-0.19
26/09/2005,6659.149902,6841.640137,6659.149902,6839.089844,2.70
03/10/2005,6839.299805,6911.899902,6805.22998,6823.290039,-0.23
10/10/2005,6822.97998,6838.27002,6614.919922,6643.299805,-2.64
17/10/2005,6643.140137,6673.25,6388.22998,6388.22998,-3.84
24/10/2005,6387.810059,6557.649902,6387.810059,6464.759766,1.20
31/10/2005,6464.25,6747.310059,6456.790039,6670.930176,3.19
07/11/2005,6671.439941,6785.899902,6664.560059,6785.839844,1.72
14/11/2005,6785.839844,6826.080078,6731.609863,6806.600098,0.31
21/11/2005,6806.600098,6936.899902,6773.799805,6891.879883,1.25
28/11/2005,6891.439941,7028.120117,6840.850098,7002.080078,1.60
05/12/2005,7002.72998,7150.709961,6999.5,7150.709961,2.12
12/12/2005,7138.22998,7254.890137,6962.740234,7254.890137,1.46
19/12/2005,7254.5,7281.529785,7153.240234,7280.790039,0.36
26/12/2005,7280.790039,7363.959961,7242.779785,7363.959961,1.14
02/01/2006,7360.180176,7499.950195,7352.319824,7486.220215,1.66
09/01/2006,7486.470215,7665.040039,7175.180176,7526.129883,0.53
16/01/2006,7524.549805,7556.169922,7261.759766,7424.779785,-1.35
23/01/2006,7424.540039,7597.939941,7333.930176,7586.540039,2.18
30/01/2006,7586.790039,7674.870117,7548.040039,7654.02002,0.89
06/02/2006,7656.899902,7658.950195,7483.009766,7596.310059,-0.75
13/02/2006,7596.310059,7775.419922,7594.540039,7757.899902,2.13
20/02/2006,7757.689941,7955.879883,7746.72998,7943.669922,2.39
27/02/2006,7940.490234,8013.899902,7805.640137,7820.810059,-1.55
06/03/2006,7820.700195,7913.379883,7755.669922,7879.209961,0.75
13/03/2006,7879.669922,8014.669922,7869.77002,7977,1.24
20/03/2006,7977.240234,8069.25,7902.919922,8044.549805,0.85
27/03/2006,8043.959961,8087.75,7897.830078,8066.100098,0.27
03/04/2006,8066,8096.950195,7919.220215,7919.220215,-1.82
10/04/2006,7920.129883,7992.470215,7755.169922,7856.529785,-0.79
17/04/2006,7856.529785,7901.209961,7761.419922,7896.779785,0.51
24/04/2006,7896.779785,7953.839844,7815.52002,7930.990234,0.43
01/05/2006,7930.990234,7961.02002,7884.310059,7961.02002,0.38
08/05/2006,7960.910156,8028.47998,7742.850098,7768.790039,-2.41
15/05/2006,7769.209961,8298.099609,7518.990234,7579.589844,-2.44
22/05/2006,7580.259766,7678.549805,7349.490234,7651.810059,0.95
29/05/2006,7651.709961,7705.140137,7539.580078,7679.02002,0.36
05/06/2006,7679.02002,7679.02002,7156.459961,7305.810059,-4.86
12/06/2006,7305.120117,7416.640137,6935.950195,7317.72998,0.16
19/06/2006,7318.189941,7427.959961,7275,7301.970215,-0.22
26/06/2006,7303.379883,7738.700195,7296.370117,7516.279785,2.93
03/07/2006,7515.009766,7645.029785,7479.240234,7597.970215,1.09
10/07/2006,7596.649902,7687.680176,7295.850098,7298.410156,-3.94
17/07/2006,7299.950195,7480.470215,7177.25,7380.850098,1.13
24/07/2006,7380.259766,7518.629883,7368.209961,7501.290039,1.63
31/07/2006,7501.290039,7719,7496.459961,7719,2.90
07/08/2006,7718.77002,7727.450195,7590.580078,7595.569824,-1.60
14/08/2006,7595.459961,7800.819824,7595.459961,7761.689941,2.19
21/08/2006,7763.180176,7878.959961,7756.970215,7873.839844,1.44
28/08/2006,7874.200195,8112.669922,7864.560059,8092.069824,2.77
04/09/2006,8092.200195,8153.410156,7749.490234,7966.580078,-1.55
11/09/2006,7966.609863,8081.02002,7872.850098,8071.97998,1.32
18/09/2006,8071.819824,8255.469727,8071.040039,8140.660156,0.85
25/09/2006,8138.779785,8240.570313,8128.509766,8223.839844,1.02
02/10/2006,8224.509766,8337.240234,8137.799805,8275.240234,0.63
09/10/2006,8275.240234,8493.44043,8257.929688,8460.870117,2.24
16/10/2006,8460.990234,8561.200195,8006.759766,8501.660156,0.48
23/10/2006,8496.870117,8593.429688,8466.030273,8587.049805,1.00
30/10/2006,8587.049805,8991.179688,8500.910156,8544.150391,-0.50
06/11/2006,8544.150391,8799.900391,8544.150391,8684.980469,1.65
13/11/2006,8685.580078,8847.889648,8632.379883,8808.759766,1.43
20/11/2006,8807.200195,8936.330078,8760.759766,8872.700195,0.73
27/11/2006,8872.700195,8873.55957,8611.129883,8625.80957,-2.78
04/12/2006,8625.740234,8946.400391,8625.740234,8917.150391,3.38
11/12/2006,8917.150391,9222.299805,8901.700195,9222.299805,3.42
18/12/2006,9224.429688,9350.429688,9152.330078,9314.219727,1.00
25/12/2006,9315.700195,9453.049805,9315.700195,9408.120117,1.01
01/01/2007,9402.639648,9537.769531,9334.900391,9432.839844,0.26
08/01/2007,9432.839844,9436.240234,9253.870117,9337.519531,-1.01
15/01/2007,9339.94043,9399.620117,9238.099609,9382.419922,0.48
22/01/2007,9382.490234,9455.830078,9269.280273,9300.429688,-0.87
29/01/2007,9300.849609,9490.389648,9181.740234,9490.389648,2.04
05/02/2007,9490.389648,9724.759766,9490.389648,9718.75,2.41
12/02/2007,9721.94043,9945.709961,9664.990234,9911.509766,1.98
19/02/2007,9911.519531,10041.26953,9895.709961,9910.360352,-0.01
26/02/2007,9910.469727,9965.080078,9173.610352,9256.089844,-6.60
05/03/2007,9256.089844,9593.299805,8987.679688,9567.919922,3.37
12/03/2007,9567.919922,9767.419922,9059.160156,9228.110352,-3.55
19/03/2007,9227.240234,9561.089844,9181.650391,9512.860352,3.09
26/03/2007,9513.290039,9547.009766,9013.719727,9375.299805,-1.45
02/04/2007,9370.870117,9451.959961,9287.929688,9418.240234,0.46
09/04/2007,9417.339844,9614.490234,9399.610352,9600.870117,1.94
16/04/2007,9600.799805,9709.799805,9380.030273,9703.679688,1.07
23/04/2007,9703.780273,9749.980469,9432.320313,9470.620117,-2.40
30/04/2007,9474.209961,9872.540039,9467.429688,9800.860352,3.49
07/05/2007,9800.860352,9820.490234,9408.620117,9584.719727,-2.21
14/05/2007,9585.05957,9684.290039,9562.950195,9667.919922,0.87
21/05/2007,9664.419922,10364.79004,9664.419922,9914.410156,2.55
28/05/2007,9914.879883,9981.419922,9810.530273,9963.44043,0.49
04/06/2007,9963.44043,9963.44043,9279.5,9381.820313,-5.84
11/06/2007,9380.610352,9659.620117,9285.620117,9659.620117,2.96
18/06/2007,9664.089844,9731.30957,9359.969727,9395.830078,-2.73
25/06/2007,9395.269531,9395.269531,9202.719727,9306.25,-0.95
02/07/2007,9326.790039,9454.19043,9297.240234,9451.160156,1.56
09/07/2007,9450.330078,9523.240234,9043.259766,9134.75,-3.35
16/07/2007,9136.209961,9229.820313,9016.55957,9027.30957,-1.18
23/07/2007,9027.75,9053.679688,8339.169922,8357.400391,-7.42
30/07/2007,8358.349609,8741.730469,8199.69043,8595.230469,2.85
06/08/2007,8594.839844,8956.269531,8281.519531,8346.719727,-2.89
13/08/2007,8343.280273,8883.200195,7878.549805,8106.470215,-2.88
20/08/2007,8105.080078,8495.379883,8045.689941,8327.389648,2.73
27/08/2007,8324.709961,8439.959961,8094.700195,8400.929688,0.88
03/09/2007,8400.919922,8549.019531,8070.359863,8188.27002,-2.53
10/09/2007,8188.27002,8222.740234,7780.240234,7821.319824,-4.48
17/09/2007,7858.390137,8046.959961,7443.27002,7869.350098,0.61
