Date,Open,High,Low,Close,% Change AEX
21/03/2005,369.589996,372.450012,366.589996,371.619995,0.48
28/03/2005,370.089996,371.679993,368.149994,368.200012,-0.92
04/04/2005,368.649994,374.26001,365.220001,373.609985,1.47
11/04/2005,372.200012,373.369995,364.25,364.26001,-2.5
18/04/2005,356.929993,358.600006,352.040009,356.179993,-2.22
25/04/2005,355.329987,357.540009,345.549988,348.200012,-2.24
02/05/2005,348.700012,357.019989,347.799988,356.649994,2.43
09/05/2005,356.709991,357.369995,352.429993,355.51001,-0.32
16/05/2005,355.119995,365.209991,353.940002,363.880005,2.35
23/05/2005,365.230011,369.670013,363.769989,366.940002,0.84
30/05/2005,367.059998,373.390015,364.679993,371.519989,1.25
06/06/2005,371.23999,377.130005,368.059998,376.089996,1.23
13/06/2005,375.679993,382.309998,375.200012,380.269989,1.11
20/06/2005,380.220001,384.179993,377.290009,379.970001,-0.08
27/06/2005,378.160004,388.26001,375.769989,388.26001,2.18
04/07/2005,388.089996,391.440002,375.160004,388.600006,0.09
11/07/2005,389.929993,395.329987,388.100006,393.679993,1.31
18/07/2005,392.679993,399.019989,392.209991,394.299988,0.16
25/07/2005,395.980011,397.529999,393.209991,395.769989,0.37
01/08/2005,396.209991,397.98999,391.309998,391.309998,-1.13
08/08/2005,392.149994,401.769989,390.700012,396.059998,1.21
15/08/2005,395.369995,397.290009,390.359985,393.970001,-0.53
22/08/2005,394.880005,395.769989,384.880005,385.149994,-2.24
29/08/2005,382.570007,391.890015,382.160004,389.309998,1.08
05/09/2005,388.970001,396.109985,388.950012,394.910004,1.44
12/09/2005,396.630005,399.140015,393.059998,398.100006,0.81
19/09/2005,396.890015,401.850006,392.529999,394.329987,-0.95
26/09/2005,396.690002,404.089996,396.690002,402.98999,2.2
03/10/2005,405.410004,408.899994,397.589996,398.660004,-1.07
10/10/2005,399.890015,400.630005,389.769989,394.309998,-1.09
17/10/2005,395.929993,396.450012,384.859985,386.079987,-2.09
24/10/2005,386.660004,391.559998,383.309998,385.950012,-0.03
31/10/2005,390.519989,400.700012,390.25,399.529999,3.52
07/11/2005,399.140015,411.059998,398.5,410.820007,2.83
14/11/2005,410.089996,417.660004,409.48999,416.23999,1.32
21/11/2005,417.480011,420.109985,415.98999,418.299988,0.49
28/11/2005,419.679993,430.089996,416.170013,429.480011,2.67
05/12/2005,429.850006,436.380005,427.820007,431.130005,0.38
12/12/2005,432.859985,436.730011,430.230011,436.170013,1.17
19/12/2005,435.390015,440.290009,433.269989,439.160004,0.69
26/12/2005,439.720001,441.26001,436.450012,436.779999,-0.54
02/01/2006,437.549988,446.720001,437.549988,446.109985,2.14
09/01/2006,447.470001,448.609985,440.230011,441.369995,-1.06
16/01/2006,441.029999,442.970001,431.73999,432.200012,-2.08
23/01/2006,428.160004,449.730011,427.899994,449.670013,4.04
30/01/2006,449.429993,457.459991,447.769989,451.269989,0.36
06/02/2006,453.320007,460.390015,448.660004,456.26001,1.11
13/02/2006,456.649994,464.690002,455.450012,463.600006,1.61
20/02/2006,463.660004,467.149994,461.630005,464.570007,0.21
27/02/2006,465.290009,467.529999,452.570007,455.25,-2.01
06/03/2006,458.299988,458.679993,449.149994,458.589996,0.73
13/03/2006,460.76001,467.549988,460.350006,464.049988,1.19
20/03/2006,466.279999,473.019989,463.179993,472.070007,1.73
27/03/2006,472.109985,473.130005,466.369995,468.690002,-0.72
03/04/2006,471.450012,472.929993,464.640015,468.679993,0
10/04/2006,468.220001,470.670013,461.190002,462.76001,-1.26
17/04/2006,462.200012,478.220001,460.089996,478,3.29
24/04/2006,475.920013,478.440002,468.440002,469.399994,-1.8
01/05/2006,467.670013,473.75,463.339996,471.720001,0.49
08/05/2006,473.149994,474.26001,455.089996,455.089996,-3.53
15/05/2006,451.980011,453.48999,432.01001,438.980011,-3.54
22/05/2006,434.75,446.279999,426.179993,446.279999,1.66
29/05/2006,446.109985,446.570007,428.980011,438.899994,-1.65
05/06/2006,439.600006,439.600006,419.640015,426.470001,-2.83
12/06/2006,425.790009,429.640015,409.559998,420.519989,-1.4
19/06/2006,422.01001,432.350006,419.179993,429.140015,2.05
26/06/2006,430.299988,441.540009,420.190002,440.25,2.59
03/07/2006,440.790009,444.380005,438.01001,440.700012,0.1
10/07/2006,441.190002,443.299988,428.089996,428.329987,-2.81
17/07/2006,429.299988,441.25,422.709991,436.299988,1.86
24/07/2006,437.51001,456.220001,436.809998,456.220001,4.57
31/07/2006,455.75,457.640015,448.279999,455.799988,-0.09
07/08/2006,451.200012,454.309998,446.339996,451.76001,-0.89
14/08/2006,454.380005,465.420013,453.709991,463.920013,2.69
21/08/2006,463.589996,466.649994,459.459991,465.140015,0.26
28/08/2006,464.519989,473,463.570007,470.929993,1.24
04/09/2006,471.700012,474.399994,462.670013,464.470001,-1.37
11/09/2006,462.089996,476.429993,460.170013,474.850006,2.23
18/09/2006,475.619995,480.589996,468.76001,472.98999,-0.39
25/09/2006,474.519989,485.799988,471.779999,483.619995,2.25
02/10/2006,484.920013,488.309998,478.670013,486.209991,0.54
09/10/2006,484.290009,494.049988,484.079987,492.679993,1.33
16/10/2006,492.75,494.140015,486.779999,489.299988,-0.69
23/10/2006,490.559998,495.730011,487.600006,489.98999,0.14
30/10/2006,485.309998,490.75,482.399994,487.940002,-0.42
06/11/2006,489.869995,498.450012,489.519989,492.959991,1.03
13/11/2006,493.01001,497.630005,490.980011,492.619995,-0.07
20/11/2006,490.950012,494.410004,482.100006,484.910004,-1.57
27/11/2006,484.160004,485.98999,470.540009,473.320007,-2.39
04/12/2006,473.75,479.720001,471.25,476.529999,0.68
11/12/2006,478,497.399994,478,495.109985,3.9
18/12/2006,494.76001,496.910004,490.399994,490.769989,-0.88
25/12/2006,494.459991,499.170013,493.470001,495.339996,0.93
01/01/2007,497.910004,501.799988,494.040009,494.049988,-0.26
08/01/2007,495.369995,503.309998,490.929993,502.839996,1.78
15/01/2007,504.880005,508.640015,502.470001,507.119995,0.85
22/01/2007,508.399994,509,496.619995,499.799988,-1.44
29/01/2007,499.690002,508.390015,498.470001,506.779999,1.4
05/02/2007,506.880005,509.880005,503.809998,507.299988,0.1
12/02/2007,504.630005,509.179993,502.5,506.100006,-0.24
19/02/2007,507,512.469971,504.910004,510.609985,0.89
26/02/2007,511.029999,512.380005,477.070007,480.200012,-5.96
05/03/2007,471.160004,492.019989,469.850006,490.350006,2.11
12/03/2007,493.850006,494.399994,473.079987,482.140015,-1.67
19/03/2007,490.049988,515.330017,486.970001,513.840027,6.57
26/03/2007,514.72998,515.859985,503,510.5,-0.65
02/04/2007,510.5,519.309998,509.76001,519.289978,1.72
09/04/2007,519.26001,526.809998,516.049988,523.679993,0.85
16/04/2007,528.530029,539.080017,523.75,536.359985,2.42
23/04/2007,538.609985,538.869995,529.049988,530.48999,-1.09
30/04/2007,528.359985,540.77002,528.359985,539.640015,1.72
07/05/2007,540.049988,540.320007,521.099976,531.200012,-1.56
14/05/2007,533,538.289978,525.650024,536.690002,1.03
21/05/2007,538.400024,542.070007,531.650024,535.47998,-0.23
28/05/2007,536.299988,544.27002,531.309998,543.929993,1.58
04/06/2007,543.700012,547.820007,530.799988,534.690002,-1.7
11/06/2007,537.640015,552.369995,530.530029,551.909973,3.22
18/06/2007,552.059998,554.960022,547.219971,548.75,-0.57
25/06/2007,545.179993,548.700012,538.73999,548.210022,-0.1
02/07/2007,545.5,555.630005,545.5,555,1.24
09/07/2007,556.799988,563.97998,549.340027,560.929993,1.07
