Date,Open,High,Low,Close,% Change NK
21/03/2005,11867.33984,11889.12988,11681.16016,11761.09961,-1.00
28/03/2005,11709.79004,11816.71973,11506.84961,11723.62988,-0.32
04/04/2005,11666.30957,11911.90039,11652.66016,11874.75,1.29
11/04/2005,11847.91992,11847.91992,11343.73047,11370.69043,-4.24
18/04/2005,11223.65039,11223.65039,10770.58008,11045.9502,-2.86
25/04/2005,11064.9502,11114.4502,10892.70996,11008.90039,-0.34
02/05/2005,10954.20996,11192.16992,10913.96973,11192.16992,1.66
09/05/2005,11199.09961,11211.36035,11017.79004,11049.11035,-1.28
16/05/2005,11045.29004,11110.4502,10788.58984,11037.29004,-0.11
23/05/2005,11073.00977,11199.23047,10978.84961,11192.33008,1.40
30/05/2005,11201.32031,11374.69043,11197.79004,11300.04981,0.96
06/06/2005,11232.65039,11331.37012,11148.36035,11304.23047,0.04
13/06/2005,11308.65039,11514.03027,11299.78027,11514.03027,1.86
20/06/2005,11539.17969,11576.75,11445.42969,11537.03027,0.20
27/06/2005,11445.63965,11663.66016,11378.99023,11630.12988,0.81
04/07/2005,11664.21973,11676.2002,11563.83984,11565.99023,-0.55
11/07/2005,11676.96973,11828.30957,11659.65039,11758.67969,1.67
18/07/2005,11761.61035,11867.23047,11650.37012,11695.04981,-0.54
25/07/2005,11721.7002,11913.5,11718.66016,11899.59961,1.75
01/08/2005,11907.41992,12009.55957,11724.61035,11766.48047,-1.12
08/08/2005,11670.70996,12324.42969,11614.70996,12261.67969,4.21
15/08/2005,12254.53027,12369.74023,12219.51953,12291.73047,0.25
22/08/2005,12330.7002,12612.16016,12330.7002,12439.48047,1.20
29/08/2005,12386.75977,12600,12274.80957,12600,1.29
05/09/2005,12616.29981,12730.20996,12498.40039,12692.04004,0.73
12/09/2005,12841.01953,12992.99023,12806.70996,12958.67969,2.10
19/09/2005,12991.62988,13235.41992,12991.62988,13159.36035,1.55
26/09/2005,13229.26953,13678.44043,13229.26953,13574.29981,3.15
03/10/2005,13566.2002,13783.59961,13221.33008,13227.74023,-2.55
10/10/2005,13280.33008,13704.08984,13241.83984,13420.54004,1.46
17/10/2005,13486.17969,13510.62988,12996.29004,13199.9502,-1.64
24/10/2005,13232.41016,13501.24023,13083.04004,13346.54004,1.11
31/10/2005,13459.99023,14099.49023,13456.07031,14075.95996,5.47
07/11/2005,14084.11035,14206.13965,13951.40039,14155.05957,0.56
