Date,Open,High,Low,Close,% Change IBEX
21/03/2005,9236.900391,9329.099609,9196.799805,9309.299805,0.49
28/03/2005,9266.099609,9355.799805,9234.099609,9289.5,-0.21
04/04/2005,9257.299805,9442.200195,9164.299805,9385.799805,1.04
11/04/2005,9341,9382.599609,9155.200195,9155.200195,-2.46
18/04/2005,9046.599609,9115.900391,8938.900391,9096.400391,-0.64
25/04/2005,9050.5,9130,8940.5,9001.599609,-1.04
02/05/2005,9027.900391,9273.099609,9020.099609,9263.099609,2.91
09/05/2005,9245.599609,9250.599609,9121.900391,9222.5,-0.44
16/05/2005,9222,9411.5,9193.599609,9368.5,1.58
23/05/2005,9408.900391,9428.299805,9333,9381.5,0.14
30/05/2005,9363.700195,9587.400391,9352.5,9497.700195,1.24
06/06/2005,9480.700195,9574,9443,9561.5,0.67
13/06/2005,9564,9706.200195,9526.700195,9682.299805,1.26
20/06/2005,9670.900391,9779.400391,9634.200195,9677.400391,-0.05
27/06/2005,9629.700195,9829.099609,9590.700195,9829.099609,1.57
04/07/2005,9808.299805,9849.5,9399.299805,9793.200195,-0.37
11/07/2005,9831.099609,9996.400391,9819.599609,9943.799805,1.54
18/07/2005,9944.799805,10068,9927.5,10018.79981,0.75
25/07/2005,10036.7002,10162.40039,9979.5,10115.59961,0.97
01/08/2005,10122.59961,10151.09961,10029,10045.40039,-0.69
08/08/2005,10052.09961,10253.7002,10045.2002,10187.2002,1.41
15/08/2005,10163.79981,10223.79981,10029.40039,10132.90039,-0.53
22/08/2005,10149,10183,9903.400391,9904.799805,-2.25
29/08/2005,9862.400391,10184.79981,9823.799805,10145,2.43
05/09/2005,10157.2002,10494.2002,10148.7002,10486.59961,3.37
12/09/2005,10519.90039,10560.59961,10421.2002,10532.09961,0.43
19/09/2005,10511.09961,10642.79981,10464.40039,10631.2002,0.94
26/09/2005,10671,10851.40039,10664.2002,10813.90039,1.72
03/10/2005,10835.79981,10919.2002,10680.7002,10732.40039,-0.75
10/10/2005,10754.09961,10866.2002,10513,10629.29981,-0.96
17/10/2005,10646.7002,10678.90039,10326,10368.79981,-2.45
24/10/2005,10359.09961,10562.7002,10256,10339.5,-0.28
31/10/2005,10417.2002,10500.40039,10336.09961,10412.29981,0.70
07/11/2005,10406.2002,10518.90039,10362,10510.29981,0.94
14/11/2005,10490.7002,10577.29981,10338.7002,10527.09961,0.16
21/11/2005,10532.90039,10672.59961,10491.7002,10656.29981,1.23
28/11/2005,10677.2002,10716.79981,10540.5,10649.79981,-0.06
05/12/2005,10669,10669,10423.90039,10489.29981,-1.51
12/12/2005,10521.7002,10602.09961,10450.59961,10555.29981,0.63
19/12/2005,10549.59961,10753.29981,10495.90039,10723.90039,1.60
26/12/2005,10718.29981,10811.90039,10696.90039,10733.90039,0.09
02/01/2006,10725.79981,10929.59961,10720,10913.59961,1.67
09/01/2006,10943.09961,10969.40039,10825.5,10850.7002,-0.58
16/01/2006,10825.90039,10905.79981,10674.2002,10740.90039,-1.01
23/01/2006,10642.90039,11026.90039,10611.09961,11023.2002,2.63
30/01/2006,11012.40039,11253,10979.7002,11175.79981,1.38
06/02/2006,11199.79981,11366.90039,11083.40039,11312.59961,1.22
13/02/2006,11325.09961,11501.40039,11281.2002,11491.29981,1.58
20/02/2006,11473.5,11786.90039,11456.90039,11786.90039,2.57
27/02/2006,11821.09961,11918.59961,11691.79981,11755.7002,-0.26
06/03/2006,11765.7002,11812.40039,11566.79981,11771.79981,0.14
13/03/2006,11808.7002,11949.59961,11773.29981,11872.90039,0.86
20/03/2006,11909.29981,11970,11857.79981,11954.40039,0.69
27/03/2006,11939.5,11954.09961,11753.90039,11854.29981,-0.84
03/04/2006,11923.5,11958.59961,11807.7002,11816.7002,-0.32
10/04/2006,11792.40039,11822.2002,11564.2002,11609.40039,-1.75
17/04/2006,11589.40039,11913.79981,11552.09961,11913.79981,2.62
24/04/2006,11884.40039,11975.5,11812.90039,11892.5,-0.18
01/05/2006,11843.29981,12034.40039,11835.90039,12034.40039,1.19
08/05/2006,12070.5,12106,11710.2002,11710.2002,-2.69
15/05/2006,11661.29981,11673.09961,11069.09961,11270.79981,-3.75
22/05/2006,11246.59961,11414.79981,10918.29981,11414.79981,1.28
29/05/2006,11401.90039,11470.59961,11049.2002,11360.7002,-0.47
05/06/2006,11380,11380,10952.59961,11098.2002,-2.31
12/06/2006,11060.79981,11176.5,10744.2002,10962.79981,-1.22
19/06/2006,11032.59961,11302.90039,10965.09961,11274.2002,2.84
26/06/2006,11313.79981,11585.29981,11158.5,11548.09961,2.43
03/07/2006,11527.90039,11650.5,11469.2002,11626.7002,0.68
10/07/2006,11581.79981,11650.5,11240.2002,11240.2002,-3.32
17/07/2006,11243.09961,11523.79981,11116,11333.90039,0.83
24/07/2006,11343.90039,11892.29981,11337.5,11887.40039,4.88
31/07/2006,11871.79981,11934.09961,11698.5,11934.09961,0.39
07/08/2006,11836.2002,11922.2002,11707.59961,11777.29981,-1.31
14/08/2006,11849.29981,12098.40039,11829.79981,12067.79981,2.47
21/08/2006,12029.09961,12121.5,11970.2002,12042.90039,-0.21
28/08/2006,12044.79981,12231.90039,11981,12193,1.25
04/09/2006,12216.59961,12282.40039,11991.90039,12081.7002,-0.91
11/09/2006,12047.7002,12337.5,11969.2002,12278.40039,1.63
18/09/2006,12294.59961,12502.79981,12207.7002,12389.5,0.90
25/09/2006,12427,13001.59961,12333.29981,12934.7002,4.40
02/10/2006,12937.2002,13286.29981,12819.59961,13152.09961,1.68
09/10/2006,13114.40039,13465.59961,13097.29981,13454.5,2.30
16/10/2006,13437.5,13565.29981,13233.40039,13558,0.77
23/10/2006,13576.90039,13744.29981,13506.5,13725.79981,1.24
30/10/2006,13639.5,13872.2002,13600.5,13794.7002,0.50
06/11/2006,13861.40039,14125,13847.5,14002.40039,1.51
13/11/2006,14012.59961,14245.79981,13987.40039,14170,1.20
20/11/2006,14101.90039,14338,14047,14088.09961,-0.58
27/11/2006,14051.90039,14100.40039,13551.09961,13660.59961,-3.03
04/12/2006,13694.59961,14117.90039,13655.40039,14076.59961,3.05
11/12/2006,14119.40039,14420.79981,14116,14387.59961,2.21
18/12/2006,14368.2002,14376.59961,14030.29981,14066.09961,-2.23
25/12/2006,13955.09961,14204.7002,13955.09961,14146.5,0.57
01/01/2007,14173.2002,14396.59961,14157.29981,14304.7002,1.12
08/01/2007,14312.79981,14417.5,14065.7002,14368.2002,0.44
15/01/2007,14414.29981,14482.59961,14182,14397.90039,0.21
22/01/2007,14416.2002,14605.59961,14304.7002,14415.40039,0.12
29/01/2007,14403.09961,14656.90039,14391.7002,14631.2002,1.50
05/02/2007,14602.90039,14927.2002,14559,14875.5,1.67
12/02/2007,14831.90039,14938.29981,14729,14851.2002,-0.16
19/02/2007,14884.29981,14963.59961,14703.90039,14767.09961,-0.57
26/02/2007,14792.5,14882.2002,13820.59961,13962.2002,-5.45
05/03/2007,13689.79981,14306.09961,13654.90039,14257.2002,2.11
12/03/2007,14311.29981,14359.79981,13602.40039,13977.40039,-1.96
19/03/2007,14101.59961,14555.2002,14093.2002,14545.7002,4.07
26/03/2007,14566,14730.40039,14410.90039,14641.7002,0.66
02/04/2007,14619.90039,14988.59961,14580.5,14974.90039,2.28
09/04/2007,14973,15063.79981,14775.2002,14965.29981,-0.06
16/04/2007,15008.79981,15136.2002,14623.29981,15080.90039,0.77
23/04/2007,15091.09961,15111.7002,14342,14403.59961,-4.49
30/04/2007,14386,14636.5,14176,14620.29981,1.50
07/05/2007,14667.7002,14751.09961,14449.29981,14736.29981,0.79
14/05/2007,14780.90039,15114.29981,14650.90039,15068.40039,2.25
21/05/2007,15108.5,15223.90039,14970.09961,15053.2002,-0.10
28/05/2007,15097.90039,15543.79981,15035.40039,15501.5,2.98
04/06/2007,15482.2002,15511.79981,14604.59961,14816.5,-4.42
11/06/2007,14908.79981,15288.5,14638.09961,15252.09961,2.94
18/06/2007,15239.90039,15251.2002,14756.79981,14784.90039,-3.06
25/06/2007,14672,14892,14582.40039,14892,0.72
02/07/2007,14790.79981,15058.29981,14741.2002,15058.29981,1.12
09/07/2007,15102.29981,15145.90039,14601.79981,15023.5,-0.23
16/07/2007,15041.40039,15297.2002,14925.79981,14930.09961,-0.62
23/07/2007,14933.90039,15135.2002,14378.7002,14587.5,-2.29
30/07/2007,14603.40039,14802.40039,14441.79981,14534.29981,-0.36
06/08/2007,14404.90039,15028.7002,14385.29981,14453.90039,-0.55
13/08/2007,14568.7002,14754,13841.59961,14237.5,-1.50
20/08/2007,14277.90039,14482.09961,14067.09961,14334.40039,0.68
27/08/2007,14388.59961,14529,14014.09961,14479.79981,1.01
03/09/2007,14517.7002,14593.09961,13816.29981,13873.40039,-4.19
10/09/2007,13862,14101.40039,13703.59961,13861,-0.09
17/09/2007,13819.29981,14550.09961,13519.09961,14450.59961,4.25
24/09/2007,14439.40039,14704.5,14224,14576.5,0.87
01/10/2007,14519,14900.40039,14443.90039,14892.09961,2.17
08/10/2007,14915.2002,15264.2002,14754.59961,15261.29981,2.48
15/10/2007,15275.90039,15627.29981,15114.59961,15529.7002,1.76
22/10/2007,15254.59961,15652.7002,15187.5,15603.90039,0.48
29/10/2007,15703.59961,15928.29981,15622.59961,15823.7002,1.41
05/11/2007,15708.79981,16040.40039,15612.59961,15731.2002,-0.58
12/11/2007,15660.5,15943.59961,15560,15769,0.24
19/11/2007,15770.29981,15935.29981,15267,15392.2002,-2.39
26/11/2007,15476.79981,15799.2002,15165.09961,15759.90039,2.39
03/12/2007,15767.09961,15901.40039,15615,15819.59961,0.38
10/12/2007,15760.90039,15983.40039,15429.5,15575.7002,-1.54
17/12/2007,15404.40039,15444.5,15107.40039,15289.29981,-1.84
24/12/2007,15344.2002,15397.90039,15124.90039,15182.29981,-0.70
31/12/2007,15101.90039,15186,14511,14602.29981,-3.82
07/01/2008,14551.7002,14808.79981,14428.7002,14458,-0.99
