Date,Open,High,Low,Close,Change
21/03/2005,104.660004,106.540001,104.639999,106.379997,0.0163
28/03/2005,106.349998,107.75,106.349998,107.650002,-0.0119
04/04/2005,107.650002,108.860001,107.580002,108.349998,-0.0065
11/04/2005,108.349998,108.5,107.129997,107.660004,0.0064
18/04/2005,107.669998,108.019997,105.269997,105.599998,0.0191
25/04/2005,105.57,106.349998,104.599998,105.129997,0.0045
02/05/2005,105.120003,105.410004,104.199997,105.220001,-0.0009
09/05/2005,105.230003,107.410004,105.010002,107.389999,-0.0206
16/05/2005,107.389999,108.279999,106.550003,108.129997,-0.0069
23/05/2005,108.120003,108.269997,107.220001,108.080002,0.0005
30/05/2005,108.07,108.830002,107.489998,107.739998,0.0031
06/06/2005,107.75,108.690002,106.489998,108.599998,-0.0080
13/06/2005,108.589996,109.690002,108.43,108.830002,-0.0021
20/06/2005,108.849998,109.559998,108.139999,109.18,-0.0032
27/06/2005,109.18,111.860001,109.129997,111.690002,-0.0230
04/07/2005,111.620003,112.510002,111.330002,112.139999,-0.0040
11/07/2005,112.150002,112.360001,110.760002,112.239998,-0.0009
18/07/2005,112.239998,113.639999,109.910004,111.629997,0.0054
25/07/2005,111.620003,112.839996,111.300003,112.699997,-0.0096
01/08/2005,112.699997,112.760002,110.769997,112.290001,0.0036
08/08/2005,112.279999,112.519997,109.309998,109.349998,0.0262
15/08/2005,109.339996,110.790001,109.029999,110.5,-0.0105
22/08/2005,110.5,110.709999,109.400002,109.949997,0.0050
29/08/2005,109.93,111.730003,109.230003,109.760002,0.0017
05/09/2005,109.730003,110.739998,108.790001,109.279999,0.0044
12/09/2005,109.290001,111.5,106.010002,111.379997,-0.0192
19/09/2005,111.400002,112.620003,110.989998,112.43,-0.0094
26/09/2005,112.419998,113.68,112.080002,113.639999,-0.0108
03/10/2005,113.639999,114.379997,113.029999,113.739998,-0.0009
10/10/2005,113.739998,115.059998,113.529999,114.25,-0.0045
17/10/2005,114.25,115.970001,113.769997,115.839996,-0.0139
24/10/2005,115.839996,116.18,114.599998,115.730003,0.0009
31/10/2005,115.730003,118.970001,115.529999,118.239998,-0.0217
07/11/2005,118.230003,118.25,116.839996,117.910004,0.0028
14/11/2005,117.919998,119.540001,117.839996,119.160004,-0.0106
21/11/2005,119.18,119.720001,118.230003,119.739998,-0.0049
28/11/2005,119.720001,121.230003,118.389999,121.050003,-0.0109
05/12/2005,121.029999,121.370003,119.980003,120.82,0.0019
12/12/2005,120.82,121.010002,115.5,115.559998,0.0435
19/12/2005,115.57,117.629997,115.510002,116.309998,-0.0065
26/12/2005,116.25,118.160004,116.050003,117.889999,-0.0136
02/01/2006,117.870003,118.010002,114.230003,114.510002,0.0287
09/01/2006,114.489998,114.860001,113.489998,113.870003,0.0056
16/01/2006,113.900002,115.900002,113.839996,115.169998,-0.0114
23/01/2006,115.169998,117.400002,114.150002,117.029999,-0.0162
30/01/2006,117.029999,119.349998,116.690002,118.855003,-0.0156
06/02/2006,118.830002,119.154999,116.910004,117.669998,0.0100
13/02/2006,117.68,118.849998,116.800003,118.080002,-0.0035
20/02/2006,118.059998,118.970001,116.480003,117.029999,0.0089
27/02/2006,117.029999,117.040001,115.480003,116.110001,0.0079
06/03/2006,116.095001,119.120003,116.080002,118.959999,-0.0245
13/03/2006,118.980003,119.18,115.739998,116.110001,0.0240
20/03/2006,116.089996,118.470001,115.519997,117.580002,-0.0127
27/03/2006,117.580002,118.190002,116.279999,117.68,-0.0009
03/04/2006,117.68,118.760002,116.690002,118.120003,-0.0037
10/04/2006,118.120003,118.870003,117.809998,118.5,-0.0032
17/04/2006,118.489998,118.5,115.129997,115.730003,0.0234
24/04/2006,115.720001,115.919998,113.559998,113.68,0.0177
01/05/2006,113.699997,114.154999,111.870003,112.07,0.0142
08/05/2006,112.07,112.18,109.330002,109.489998,0.0230
15/05/2006,109.489998,112.160004,109,111.610001,-0.0194
22/05/2006,111.599998,112.940002,110.980003,112.419998,-0.0073
29/05/2006,112.410004,113.330002,111.339996,111.629997,0.0070
05/06/2006,111.629997,114.639999,111.5,114.199997,-0.0230
12/06/2006,114.199997,115.410004,113.949997,115.349998,-0.0101
19/06/2006,115.349998,116.580002,114.419998,116.440002,-0.0094
26/06/2006,116.43,116.684998,114.18,114.290001,0.0185
03/07/2006,114.300003,115.769997,113.82,114.010002,0.0024
10/07/2006,114,116.379997,113.449997,116.220001,-0.0194
17/07/2006,116.25,117.849998,115.800003,116.209999,0.0001
24/07/2006,116.199997,117.379997,114.470001,114.800003,0.0121
31/07/2006,114.800003,115.519997,114.004997,114.290001,0.0044
07/08/2006,114.290001,116.410004,114.160004,116.25,-0.0171
