State,Cases
Alabama,4572
Alaska,307
American Samoa,0
Arizona,4507
Arkansas,1695
California,29398
Colorado,9047
Connecticut,16809
Delaware,2323
District of Columbia,2476
Florida,24745
Georgia,16658
Guam,796
Hawaii,547
Idaho,1566
Illinois,27575
Indiana,10154
Iowa,2332
Kansas,1731
Kentucky,2522
Louisiana,23118
Maine,827
Maryland,11572
Massachusetts,34402
Michigan,29952
Minnesota,2071
Mississippi,3793
Missouri,5283
Montana,422
Nebraska,1216
Nevada,3524
New Hampshire,1287
New Jersey,78467
New Mexico,1711
New York,229642
North Carolina,5859
North Dakota,439
Northern Mariana Islands,14
Ohio,9107
Oklahoma,2465
Oregon,1785
Pennsylvania,30121
Puerto Rico,1068
Rhode Island,4177
South Carolina,4086
South Dakota,1411
Tennessee,6438
Texas,18130
Utah,2813
Vermont,779
Virgin Islands,51
Virginia,7491
Washington,11445
West Virginia,776
Wisconsin,4045
Wyoming,305
